Epoch, Loss, Acc
0, 0.685,  54.335%
1, 0.663,  59.588%
2, 0.652,  61.564%
3, 0.643,  63.473%
4, 0.633,  64.461%
5, 0.624,  65.135%
6, 0.616,  66.129%
7, 0.611,  66.966%
8, 0.606,  67.242%
9, 0.595,  68.560%
10, 0.593,  68.669%
11, 0.587,  69.527%
12, 0.582,  69.838%
13, 0.577,  69.794%
14, 0.571,  70.495%
15, 0.567,  70.844%
16, 0.561,  71.554%
17, 0.558,  71.796%
18, 0.553,  72.075%
19, 0.547,  72.352%
20, 0.541,  73.073%
21, 0.540,  73.394%
22, 0.536,  73.305%
23, 0.528,  74.240%
24, 0.521,  74.501%
25, 0.521,  74.382%
26, 0.515,  75.071%
27, 0.517,  74.857%
28, 0.508,  75.895%
29, 0.507,  75.646%
30, 0.507,  75.758%
31, 0.498,  76.081%
32, 0.499,  76.180%
33, 0.493,  76.667%
34, 0.489,  77.012%
35, 0.485,  77.024%
36, 0.483,  77.380%
37, 0.479,  77.521%
38, 0.480,  77.265%
39, 0.472,  77.964%
40, 0.471,  78.040%
41, 0.468,  78.051%
42, 0.470,  77.826%
43, 0.469,  77.929%
44, 0.461,  78.659%
45, 0.459,  78.699%
46, 0.460,  78.412%
47, 0.457,  78.939%
48, 0.455,  78.954%
49, 0.448,  79.198%
50, 0.455,  78.952%
51, 0.443,  79.806%
52, 0.451,  79.109%
53, 0.443,  79.511%
54, 0.448,  79.202%
55, 0.438,  80.051%
56, 0.448,  79.299%
57, 0.433,  80.196%
58, 0.442,  79.517%
59, 0.431,  80.295%
60, 0.435,  80.051%
61, 0.427,  80.776%
62, 0.423,  80.877%
63, 0.432,  80.206%
64, 0.424,  80.659%
65, 0.428,  80.396%
66, 0.426,  80.616%
67, 0.417,  81.125%
68, 0.421,  80.703%
69, 0.420,  80.709%
70, 0.415,  81.095%
71, 0.417,  81.166%
72, 0.420,  80.871%
73, 0.419,  81.040%
74, 0.407,  81.772%
75, 0.410,  81.634%
76, 0.408,  81.533%
77, 0.411,  81.426%
78, 0.416,  81.071%
79, 0.408,  81.745%
80, 0.402,  81.949%
81, 0.414,  81.204%
82, 0.402,  81.887%
83, 0.402,  82.131%
84, 0.400,  81.844%
85, 0.406,  81.669%
86, 0.394,  82.333%
87, 0.401,  81.891%
88, 0.392,  82.543%
89, 0.397,  82.085%
90, 0.397,  82.226%
91, 0.401,  81.857%
92, 0.400,  82.210%
93, 0.393,  82.164%
94, 0.402,  81.622%
95, 0.399,  82.107%
96, 0.401,  81.756%
97, 0.401,  82.010%
98, 0.396,  82.129%
99, 0.379,  83.390%
100, 0.394,  82.160%
101, 0.395,  82.121%
102, 0.395,  82.071%
103, 0.399,  81.889%
104, 0.395,  81.978%
105, 0.384,  82.802%
106, 0.390,  82.444%
107, 0.394,  82.400%
108, 0.386,  82.768%
109, 0.394,  82.267%
110, 0.394,  82.222%
111, 0.386,  82.537%
112, 0.385,  82.646%
113, 0.385,  82.731%
114, 0.381,  82.960%
115, 0.383,  82.883%
116, 0.383,  82.764%
117, 0.388,  82.762%
118, 0.381,  83.135%
119, 0.391,  82.311%
120, 0.381,  82.986%
121, 0.388,  82.519%
122, 0.381,  82.899%
123, 0.377,  83.071%
124, 0.382,  82.889%
125, 0.374,  83.293%
126, 0.393,  82.109%
127, 0.388,  82.511%
128, 0.374,  83.255%
129, 0.387,  82.628%
130, 0.389,  82.537%
131, 0.380,  82.964%
132, 0.383,  82.873%
133, 0.379,  83.042%
134, 0.378,  82.915%
135, 0.380,  82.836%
136, 0.376,  83.206%
137, 0.368,  83.838%
138, 0.386,  82.556%
139, 0.376,  83.214%
140, 0.386,  82.768%
141, 0.370,  83.663%
142, 0.384,  82.863%
143, 0.379,  83.184%
144, 0.383,  82.764%
145, 0.391,  82.374%
146, 0.368,  83.709%
147, 0.383,  82.717%
148, 0.377,  83.137%
149, 0.374,  83.333%
150, 0.365,  83.719%
151, 0.372,  83.473%
152, 0.376,  83.168%
153, 0.366,  83.646%
154, 0.377,  83.111%
155, 0.369,  83.636%
156, 0.364,  83.897%
157, 0.362,  83.994%
158, 0.376,  83.093%
159, 0.369,  83.505%
160, 0.368,  83.691%
161, 0.369,  83.691%
162, 0.370,  83.525%
163, 0.376,  83.020%
164, 0.371,  83.438%
165, 0.365,  83.762%
166, 0.366,  83.774%
167, 0.375,  83.069%
168, 0.371,  83.438%
169, 0.375,  83.099%
170, 0.372,  83.681%
171, 0.373,  83.517%
172, 0.375,  83.190%
173, 0.372,  83.481%
174, 0.368,  83.634%
175, 0.364,  83.952%
176, 0.373,  83.424%
177, 0.377,  82.846%
178, 0.358,  84.224%
179, 0.373,  83.244%
180, 0.370,  83.586%
181, 0.375,  83.123%
182, 0.364,  83.754%
183, 0.355,  84.196%
184, 0.368,  83.592%
185, 0.374,  83.182%
186, 0.359,  84.006%
187, 0.358,  84.188%
188, 0.369,  83.321%
189, 0.371,  83.333%
190, 0.357,  84.261%
191, 0.368,  83.667%
192, 0.370,  83.378%
193, 0.357,  84.444%
194, 0.360,  84.040%
195, 0.366,  83.891%
196, 0.370,  83.545%
197, 0.358,  84.216%
198, 0.368,  83.410%
199, 0.371,  83.368%
200, 0.366,  83.663%
201, 0.355,  84.390%
202, 0.365,  83.667%
203, 0.363,  83.988%
204, 0.364,  83.634%
205, 0.366,  83.786%
206, 0.361,  84.156%
