Epoch, Loss, Acc
0, 0.687,  53.871%
1, 0.670,  58.303%
2, 0.659,  59.311%
3, 0.649,  61.760%
4, 0.642,  62.733%
5, 0.635,  63.725%
6, 0.628,  64.420%
7, 0.623,  64.786%
8, 0.617,  65.416%
9, 0.613,  66.000%
10, 0.607,  66.895%
11, 0.602,  67.109%
12, 0.596,  68.236%
13, 0.588,  68.475%
14, 0.587,  68.800%
15, 0.581,  69.251%
16, 0.576,  70.182%
17, 0.572,  70.297%
18, 0.569,  70.509%
19, 0.562,  71.014%
20, 0.559,  71.349%
21, 0.556,  71.489%
22, 0.552,  72.265%
23, 0.544,  72.644%
24, 0.539,  73.265%
25, 0.537,  73.525%
26, 0.531,  73.699%
27, 0.531,  73.830%
28, 0.525,  74.087%
29, 0.523,  74.279%
30, 0.520,  74.418%
31, 0.516,  74.774%
32, 0.512,  75.238%
33, 0.511,  74.875%
34, 0.505,  75.539%
35, 0.503,  75.653%
36, 0.501,  76.022%
37, 0.499,  76.099%
38, 0.495,  76.321%
39, 0.490,  76.535%
40, 0.481,  77.222%
41, 0.480,  77.087%
42, 0.484,  76.976%
43, 0.476,  77.527%
44, 0.484,  76.638%
45, 0.473,  77.574%
46, 0.474,  77.632%
47, 0.466,  77.826%
48, 0.464,  78.004%
49, 0.467,  78.093%
50, 0.461,  78.390%
51, 0.461,  78.545%
52, 0.455,  78.822%
53, 0.451,  79.188%
54, 0.444,  79.616%
55, 0.448,  79.085%
56, 0.445,  79.396%
57, 0.448,  78.970%
58, 0.433,  80.337%
59, 0.439,  79.913%
60, 0.438,  79.412%
61, 0.439,  79.594%
62, 0.440,  79.499%
63, 0.439,  79.610%
64, 0.430,  80.255%
65, 0.426,  80.560%
66, 0.423,  80.655%
67, 0.424,  80.816%
68, 0.414,  81.210%
69, 0.420,  80.956%
70, 0.418,  81.121%
71, 0.417,  80.895%
72, 0.421,  80.966%
73, 0.415,  81.145%
74, 0.410,  81.535%
75, 0.420,  80.788%
76, 0.416,  81.061%
77, 0.410,  81.400%
78, 0.415,  81.107%
79, 0.406,  81.602%
80, 0.420,  80.885%
81, 0.417,  80.834%
82, 0.410,  81.317%
83, 0.409,  81.707%
84, 0.410,  81.420%
85, 0.410,  81.345%
86, 0.403,  81.745%
87, 0.403,  81.727%
88, 0.402,  81.836%
89, 0.397,  82.020%
90, 0.394,  82.214%
91, 0.403,  81.735%
92, 0.401,  81.899%
93, 0.391,  82.479%
94, 0.405,  81.479%
95, 0.408,  81.327%
96, 0.395,  82.222%
97, 0.405,  81.410%
98, 0.388,  82.774%
99, 0.403,  81.616%
100, 0.397,  82.139%
101, 0.395,  81.986%
102, 0.386,  82.725%
103, 0.395,  82.166%
104, 0.384,  82.875%
105, 0.395,  82.287%
106, 0.383,  82.663%
107, 0.383,  82.792%
108, 0.393,  82.545%
109, 0.385,  82.867%
110, 0.386,  82.699%
111, 0.396,  81.832%
112, 0.394,  82.210%
113, 0.386,  82.657%
114, 0.377,  83.277%
115, 0.378,  83.218%
116, 0.381,  83.061%
117, 0.391,  82.384%
118, 0.390,  82.297%
119, 0.378,  83.061%
120, 0.383,  82.729%
121, 0.383,  82.903%
122, 0.375,  83.154%
123, 0.384,  82.653%
124, 0.376,  82.992%
125, 0.386,  82.612%
126, 0.387,  82.396%
127, 0.379,  82.830%
128, 0.377,  83.182%
129, 0.376,  83.265%
130, 0.380,  82.937%
131, 0.372,  83.594%
132, 0.376,  83.141%
133, 0.393,  82.305%
134, 0.372,  83.414%
135, 0.369,  83.586%
136, 0.378,  83.079%
137, 0.378,  82.943%
138, 0.364,  84.030%
139, 0.381,  82.915%
140, 0.385,  82.705%
141, 0.373,  83.493%
142, 0.372,  83.345%
143, 0.379,  83.036%
144, 0.383,  82.764%
145, 0.371,  83.517%
146, 0.379,  83.016%
147, 0.376,  83.218%
148, 0.377,  83.113%
149, 0.373,  83.244%
150, 0.382,  82.808%
151, 0.364,  83.735%
152, 0.381,  82.830%
153, 0.370,  83.620%
154, 0.360,  84.119%
155, 0.369,  83.673%
156, 0.378,  83.004%
157, 0.384,  82.731%
158, 0.376,  83.222%
159, 0.375,  83.184%
160, 0.366,  83.697%
161, 0.381,  82.879%
162, 0.367,  83.770%
163, 0.373,  83.358%
164, 0.375,  83.188%
165, 0.365,  83.885%
166, 0.364,  83.802%
167, 0.365,  83.762%
168, 0.362,  83.919%
169, 0.366,  83.687%
170, 0.366,  83.861%
171, 0.362,  83.956%
172, 0.376,  83.289%
173, 0.366,  83.634%
174, 0.369,  83.663%
175, 0.366,  83.703%
176, 0.361,  84.016%
177, 0.369,  83.438%
178, 0.368,  83.689%
179, 0.361,  84.034%
180, 0.359,  84.299%
181, 0.369,  83.634%
182, 0.377,  83.117%
183, 0.361,  83.984%
184, 0.372,  83.362%
185, 0.369,  83.481%
186, 0.374,  83.315%
187, 0.371,  83.479%
188, 0.368,  83.341%
189, 0.369,  83.455%
190, 0.367,  83.689%
191, 0.371,  83.293%
192, 0.368,  83.556%
193, 0.361,  83.901%
194, 0.369,  83.372%
195, 0.358,  84.121%
196, 0.375,  82.972%
197, 0.359,  84.291%
198, 0.360,  84.075%
199, 0.367,  83.596%
200, 0.361,  84.063%
201, 0.356,  84.321%
202, 0.355,  84.616%
203, 0.362,  83.842%
204, 0.361,  83.958%
205, 0.362,  83.844%
206, 0.367,  83.590%
207, 0.360,  83.913%
208, 0.371,  83.388%
209, 0.362,  83.705%
210, 0.359,  83.998%
211, 0.367,  83.576%
212, 0.361,  83.986%
213, 0.360,  84.034%
214, 0.363,  83.840%
215, 0.362,  83.871%
216, 0.360,  83.873%
217, 0.361,  83.830%
218, 0.367,  83.616%
219, 0.350,  84.624%
220, 0.365,  83.564%
221, 0.365,  83.838%
222, 0.373,  83.337%
223, 0.356,  84.077%
224, 0.366,  83.897%
225, 0.367,  83.758%
226, 0.358,  84.081%
227, 0.360,  83.901%
228, 0.357,  83.996%
229, 0.358,  84.198%
230, 0.356,  84.255%
231, 0.353,  84.580%
232, 0.362,  84.002%
233, 0.357,  84.162%
234, 0.365,  83.695%
235, 0.352,  84.364%
236, 0.357,  84.097%
237, 0.371,  83.451%
238, 0.361,  83.964%
239, 0.360,  84.046%
240, 0.365,  83.800%
241, 0.361,  83.962%
242, 0.357,  84.277%
243, 0.346,  84.818%
244, 0.353,  84.554%
245, 0.355,  84.287%
246, 0.365,  83.683%
247, 0.362,  84.024%
248, 0.353,  84.299%
249, 0.360,  83.984%
250, 0.359,  84.053%
251, 0.347,  84.846%
252, 0.355,  84.376%
253, 0.363,  83.842%
254, 0.348,  84.802%
255, 0.356,  84.366%
256, 0.370,  83.451%
257, 0.365,  83.806%
258, 0.357,  84.341%
259, 0.363,  83.774%
260, 0.351,  84.511%
261, 0.361,  84.057%
262, 0.350,  84.505%
263, 0.352,  84.644%
264, 0.361,  84.048%
265, 0.360,  83.949%
266, 0.365,  83.438%
267, 0.361,  83.806%
268, 0.359,  84.226%
269, 0.360,  83.895%
270, 0.360,  84.242%
271, 0.358,  84.016%
272, 0.360,  83.743%
273, 0.362,  83.867%
274, 0.356,  84.101%
275, 0.356,  84.259%
276, 0.350,  84.622%
277, 0.359,  84.026%
278, 0.353,  84.311%
279, 0.351,  84.451%
280, 0.366,  83.867%
281, 0.353,  84.442%
282, 0.356,  84.303%
283, 0.347,  84.778%
284, 0.358,  83.933%
285, 0.352,  84.503%
286, 0.351,  84.446%
287, 0.348,  84.572%
288, 0.349,  84.576%
289, 0.357,  84.178%
