Epoch, Loss, Acc
0, 0.706,  50.614%
1, 0.678,  55.917%
2, 0.667,  58.267%
3, 0.657,  59.945%
4, 0.648,  61.669%
5, 0.639,  63.651%
6, 0.630,  64.699%
7, 0.624,  65.067%
8, 0.619,  65.893%
9, 0.610,  67.149%
10, 0.607,  67.218%
11, 0.597,  68.620%
12, 0.592,  68.903%
13, 0.586,  69.549%
14, 0.583,  69.665%
15, 0.575,  70.325%
16, 0.571,  70.626%
17, 0.568,  71.406%
18, 0.559,  71.978%
19, 0.553,  72.129%
20, 0.551,  72.604%
21, 0.546,  72.935%
22, 0.543,  72.945%
23, 0.540,  73.216%
24, 0.535,  73.376%
25, 0.535,  73.859%
26, 0.525,  74.432%
27, 0.520,  74.588%
28, 0.517,  74.842%
29, 0.517,  74.978%
30, 0.507,  75.851%
31, 0.507,  75.586%
32, 0.507,  75.731%
33, 0.505,  75.745%
34, 0.498,  76.248%
35, 0.496,  76.356%
36, 0.494,  76.315%
37, 0.494,  76.394%
38, 0.487,  76.893%
39, 0.483,  77.032%
40, 0.485,  76.964%
41, 0.481,  77.198%
42, 0.473,  78.026%
43, 0.475,  77.703%
44, 0.475,  77.784%
45, 0.465,  78.192%
46, 0.472,  77.776%
47, 0.474,  77.638%
48, 0.467,  77.844%
49, 0.459,  78.762%
50, 0.455,  78.834%
51, 0.457,  78.701%
52, 0.455,  78.739%
53, 0.448,  79.511%
54, 0.448,  79.309%
55, 0.446,  79.360%
56, 0.440,  79.848%
57, 0.448,  79.214%
58, 0.441,  79.770%
59, 0.437,  79.939%
60, 0.438,  80.065%
61, 0.433,  80.137%
62, 0.437,  80.119%
63, 0.435,  80.010%
64, 0.437,  79.859%
65, 0.429,  80.566%
66, 0.434,  79.893%
67, 0.422,  80.901%
68, 0.431,  80.382%
69, 0.423,  80.701%
70, 0.422,  80.566%
71, 0.418,  81.026%
72, 0.425,  80.491%
73, 0.418,  81.111%
74, 0.415,  81.335%
75, 0.411,  81.432%
76, 0.421,  80.628%
77, 0.413,  81.226%
78, 0.400,  82.271%
79, 0.409,  81.448%
80, 0.415,  81.000%
81, 0.407,  81.594%
82, 0.403,  81.895%
83, 0.417,  81.101%
84, 0.405,  81.834%
85, 0.405,  81.598%
86, 0.413,  81.246%
87, 0.404,  81.861%
88, 0.410,  81.434%
89, 0.398,  82.147%
90, 0.406,  81.618%
91, 0.403,  81.661%
92, 0.412,  81.196%
93, 0.397,  82.222%
94, 0.399,  82.097%
95, 0.405,  81.604%
96, 0.399,  81.919%
97, 0.389,  82.832%
98, 0.405,  81.523%
99, 0.401,  81.733%
100, 0.392,  82.309%
101, 0.395,  82.295%
102, 0.394,  82.325%
103, 0.392,  82.323%
104, 0.389,  82.600%
105, 0.394,  82.321%
106, 0.395,  82.315%
107, 0.383,  82.840%
108, 0.396,  82.059%
109, 0.392,  82.232%
110, 0.393,  82.394%
111, 0.390,  82.430%
112, 0.393,  82.238%
113, 0.391,  82.481%
114, 0.382,  82.893%
115, 0.384,  82.683%
116, 0.384,  82.943%
117, 0.385,  82.731%
118, 0.390,  82.481%
119, 0.403,  81.786%
120, 0.387,  82.772%
121, 0.388,  82.752%
122, 0.390,  82.255%
123, 0.391,  82.446%
124, 0.385,  82.560%
125, 0.387,  82.578%
126, 0.388,  82.384%
127, 0.381,  83.097%
128, 0.382,  82.796%
129, 0.376,  83.242%
130, 0.383,  82.883%
131, 0.383,  82.998%
132, 0.378,  82.994%
133, 0.375,  83.317%
134, 0.384,  82.921%
135, 0.384,  82.903%
136, 0.371,  83.725%
137, 0.387,  82.467%
138, 0.379,  82.828%
139, 0.385,  82.733%
140, 0.376,  83.210%
141, 0.377,  83.402%
142, 0.381,  83.081%
143, 0.379,  82.865%
144, 0.368,  83.826%
145, 0.372,  83.556%
146, 0.377,  83.067%
147, 0.381,  82.923%
148, 0.389,  82.457%
149, 0.379,  82.917%
150, 0.374,  83.267%
151, 0.369,  83.756%
152, 0.374,  83.455%
153, 0.374,  83.398%
154, 0.368,  83.711%
155, 0.370,  83.374%
156, 0.374,  83.362%
157, 0.379,  83.004%
158, 0.377,  82.986%
159, 0.373,  83.234%
160, 0.372,  83.362%
161, 0.372,  83.554%
162, 0.371,  83.537%
163, 0.374,  83.358%
164, 0.370,  83.473%
165, 0.366,  83.770%
166, 0.372,  83.463%
167, 0.370,  83.537%
168, 0.375,  83.168%
169, 0.372,  83.493%
170, 0.365,  83.859%
171, 0.365,  83.962%
172, 0.372,  83.402%
173, 0.366,  83.681%
174, 0.369,  83.620%
175, 0.367,  83.586%
176, 0.365,  83.796%
177, 0.370,  83.527%
178, 0.377,  83.133%
179, 0.370,  83.592%
180, 0.365,  83.762%
181, 0.381,  82.834%
182, 0.371,  83.440%
183, 0.368,  83.588%
184, 0.370,  83.426%
