Epoch, Loss, Acc
0, 0.689,  53.638%
1, 0.670,  57.927%
2, 0.659,  60.426%
3, 0.650,  61.899%
4, 0.641,  62.958%
5, 0.635,  63.762%
6, 0.630,  64.558%
7, 0.624,  65.315%
8, 0.618,  66.006%
9, 0.612,  66.642%
10, 0.606,  67.275%
11, 0.601,  67.622%
12, 0.597,  67.956%
13, 0.590,  68.861%
14, 0.582,  69.745%
15, 0.580,  69.628%
16, 0.577,  69.713%
17, 0.571,  70.465%
18, 0.565,  70.929%
19, 0.563,  71.244%
20, 0.556,  71.869%
21, 0.551,  72.190%
22, 0.547,  72.354%
23, 0.542,  72.719%
24, 0.540,  73.087%
25, 0.536,  73.386%
26, 0.532,  73.679%
27, 0.529,  73.986%
28, 0.522,  74.208%
29, 0.518,  74.925%
30, 0.513,  74.812%
31, 0.512,  74.873%
32, 0.507,  75.331%
33, 0.499,  76.038%
34, 0.500,  75.794%
35, 0.503,  75.523%
36, 0.496,  76.014%
37, 0.491,  76.341%
38, 0.488,  77.022%
39, 0.484,  77.111%
40, 0.481,  77.079%
41, 0.482,  77.166%
42, 0.479,  77.236%
43, 0.475,  77.596%
44, 0.475,  77.448%
45, 0.467,  78.160%
46, 0.469,  78.123%
47, 0.468,  77.875%
48, 0.456,  78.859%
49, 0.455,  79.038%
50, 0.457,  78.671%
51, 0.455,  78.685%
52, 0.443,  79.776%
53, 0.449,  79.164%
54, 0.451,  78.925%
55, 0.439,  79.699%
56, 0.434,  80.168%
57, 0.436,  80.143%
58, 0.440,  79.782%
59, 0.440,  79.741%
60, 0.426,  80.766%
61, 0.434,  79.941%
62, 0.429,  80.426%
63, 0.428,  80.590%
64, 0.428,  80.408%
65, 0.427,  80.457%
66, 0.428,  80.596%
67, 0.411,  81.598%
68, 0.421,  80.941%
69, 0.424,  80.535%
70, 0.421,  80.794%
71, 0.411,  81.420%
72, 0.421,  80.667%
73, 0.421,  80.790%
74, 0.413,  81.289%
75, 0.410,  81.473%
76, 0.410,  81.321%
77, 0.418,  80.933%
78, 0.410,  81.303%
79, 0.407,  81.677%
80, 0.405,  81.689%
81, 0.419,  80.756%
82, 0.402,  81.921%
83, 0.402,  81.966%
84, 0.416,  80.929%
85, 0.405,  81.665%
86, 0.407,  81.263%
87, 0.403,  81.871%
88, 0.410,  81.408%
89, 0.400,  81.895%
90, 0.404,  81.509%
91, 0.396,  82.253%
92, 0.407,  81.501%
93, 0.398,  81.994%
94, 0.402,  81.913%
95, 0.404,  81.612%
96, 0.385,  82.903%
97, 0.394,  82.275%
98, 0.390,  82.370%
99, 0.405,  81.659%
100, 0.392,  82.368%
101, 0.394,  82.244%
102, 0.397,  82.160%
103, 0.392,  82.301%
104, 0.384,  82.887%
105, 0.395,  82.218%
106, 0.398,  82.158%
107, 0.380,  83.147%
108, 0.391,  82.505%
109, 0.383,  82.893%
110, 0.389,  82.632%
111, 0.390,  82.479%
112, 0.387,  82.495%
113, 0.388,  82.404%
114, 0.392,  82.317%
115, 0.389,  82.547%
116, 0.377,  83.251%
117, 0.378,  83.289%
118, 0.387,  82.638%
119, 0.393,  82.194%
120, 0.382,  82.741%
121, 0.387,  82.574%
122, 0.379,  83.147%
123, 0.392,  82.394%
124, 0.377,  83.392%
125, 0.393,  82.327%
126, 0.388,  82.644%
127, 0.383,  82.725%
128, 0.386,  82.648%
129, 0.386,  82.576%
130, 0.386,  82.764%
131, 0.382,  82.879%
132, 0.385,  82.727%
133, 0.377,  83.297%
134, 0.383,  82.921%
135, 0.378,  83.083%
136, 0.384,  82.754%
137, 0.377,  83.147%
138, 0.385,  82.715%
139, 0.374,  83.390%
140, 0.377,  83.127%
141, 0.381,  82.667%
142, 0.372,  83.432%
143, 0.382,  82.887%
144, 0.369,  83.632%
145, 0.380,  82.903%
146, 0.382,  82.766%
147, 0.377,  83.026%
148, 0.375,  83.337%
149, 0.372,  83.339%
150, 0.374,  83.311%
151, 0.381,  82.915%
152, 0.385,  82.758%
153, 0.373,  83.208%
154, 0.381,  82.826%
155, 0.375,  83.230%
156, 0.374,  83.242%
157, 0.375,  83.277%
158, 0.371,  83.493%
159, 0.382,  82.780%
160, 0.376,  83.438%
161, 0.372,  83.378%
162, 0.382,  82.893%
163, 0.368,  83.717%
164, 0.374,  83.257%
165, 0.373,  83.426%
166, 0.368,  83.683%
167, 0.370,  83.624%
168, 0.367,  83.758%
169, 0.369,  83.467%
170, 0.374,  83.277%
171, 0.367,  83.766%
172, 0.365,  83.790%
173, 0.370,  83.448%
174, 0.382,  82.895%
175, 0.371,  83.410%
176, 0.371,  83.226%
177, 0.369,  83.554%
178, 0.374,  83.111%
179, 0.371,  83.418%
180, 0.368,  83.541%
181, 0.367,  83.893%
182, 0.369,  83.438%
183, 0.373,  83.329%
184, 0.371,  83.414%
185, 0.368,  83.531%
186, 0.374,  83.283%
187, 0.369,  83.545%
188, 0.363,  83.939%
189, 0.361,  83.897%
190, 0.364,  83.842%
191, 0.370,  83.521%
192, 0.363,  83.867%
193, 0.373,  83.424%
194, 0.368,  83.521%
195, 0.363,  83.893%
196, 0.374,  83.420%
197, 0.372,  83.251%
198, 0.367,  83.618%
199, 0.358,  84.024%
200, 0.375,  83.325%
201, 0.373,  83.204%
202, 0.373,  83.285%
203, 0.359,  83.964%
204, 0.366,  83.703%
205, 0.372,  83.212%
206, 0.367,  83.549%
207, 0.363,  83.846%
208, 0.366,  83.695%
209, 0.357,  84.236%
210, 0.368,  83.608%
211, 0.372,  83.554%
212, 0.370,  83.479%
213, 0.363,  84.105%
214, 0.373,  83.471%
215, 0.365,  83.877%
216, 0.360,  84.210%
217, 0.359,  84.079%
218, 0.368,  83.537%
219, 0.366,  83.564%
220, 0.364,  83.879%
221, 0.366,  83.768%
222, 0.363,  83.814%
223, 0.357,  84.147%
224, 0.366,  83.762%
225, 0.369,  83.426%
226, 0.364,  83.836%
227, 0.363,  83.887%
228, 0.371,  83.523%
229, 0.354,  84.366%
230, 0.360,  84.162%
231, 0.363,  83.879%
232, 0.372,  83.378%
233, 0.356,  84.329%
234, 0.368,  83.554%
235, 0.360,  84.228%
236, 0.360,  84.006%
237, 0.364,  83.729%
238, 0.354,  84.257%
239, 0.365,  83.741%
240, 0.358,  84.313%
241, 0.361,  83.865%
242, 0.364,  83.604%
243, 0.366,  83.614%
244, 0.350,  84.531%
245, 0.365,  83.760%
246, 0.370,  83.525%
247, 0.358,  84.380%
248, 0.363,  83.754%
249, 0.365,  83.741%
250, 0.363,  83.859%
251, 0.357,  84.172%
252, 0.365,  83.865%
253, 0.356,  84.271%
254, 0.356,  84.248%
255, 0.371,  83.301%
256, 0.357,  84.188%
257, 0.365,  83.610%
258, 0.358,  84.152%
259, 0.344,  85.139%
260, 0.354,  84.465%
261, 0.347,  84.558%
262, 0.359,  83.857%
263, 0.352,  84.527%
264, 0.357,  84.255%
265, 0.365,  83.669%
266, 0.354,  84.317%
267, 0.363,  84.048%
268, 0.355,  84.277%
269, 0.357,  84.224%
270, 0.350,  84.495%
271, 0.363,  83.788%
272, 0.356,  84.208%
273, 0.354,  84.208%
274, 0.360,  84.198%
275, 0.361,  83.943%
276, 0.358,  84.402%
277, 0.361,  83.980%
278, 0.352,  84.253%
279, 0.352,  84.444%
280, 0.363,  83.990%
281, 0.361,  84.089%
282, 0.360,  84.071%
283, 0.358,  84.170%
284, 0.343,  84.895%
285, 0.365,  83.796%
286, 0.351,  84.463%
287, 0.355,  84.192%
288, 0.355,  84.283%
289, 0.359,  84.127%
290, 0.362,  83.871%
291, 0.358,  84.152%
292, 0.352,  84.513%
