Epoch, Loss, Acc
0, 0.694,  52.836%
1, 0.670,  57.939%
2, 0.654,  62.038%
3, 0.646,  62.966%
4, 0.638,  63.970%
5, 0.630,  65.382%
6, 0.620,  66.659%
7, 0.616,  66.911%
8, 0.609,  67.729%
9, 0.603,  67.897%
10, 0.596,  69.356%
11, 0.592,  69.481%
12, 0.585,  69.915%
13, 0.582,  70.337%
14, 0.575,  70.679%
15, 0.570,  71.228%
16, 0.566,  71.889%
17, 0.560,  72.006%
18, 0.555,  72.499%
19, 0.552,  72.570%
20, 0.543,  73.384%
21, 0.545,  73.190%
22, 0.536,  74.752%
23, 0.534,  74.208%
24, 0.531,  74.182%
25, 0.528,  74.319%
26, 0.522,  74.564%
27, 0.519,  75.030%
28, 0.512,  75.448%
29, 0.514,  75.693%
30, 0.514,  75.919%
31, 0.509,  76.000%
32, 0.506,  76.089%
33, 0.502,  76.515%
34, 0.498,  76.820%
35, 0.493,  76.964%
36, 0.495,  76.885%
37, 0.491,  77.477%
38, 0.488,  77.279%
39, 0.484,  77.477%
40, 0.483,  77.495%
41, 0.482,  77.721%
42, 0.476,  78.133%
43, 0.472,  78.584%
44, 0.472,  78.174%
45, 0.471,  78.364%
46, 0.468,  78.782%
47, 0.462,  78.931%
48, 0.462,  79.000%
49, 0.459,  79.305%
50, 0.457,  79.182%
51, 0.457,  79.095%
52, 0.455,  79.335%
53, 0.451,  79.513%
54, 0.452,  79.378%
55, 0.452,  79.358%
56, 0.447,  79.970%
57, 0.439,  80.566%
58, 0.437,  80.319%
59, 0.445,  79.723%
60, 0.437,  80.248%
61, 0.438,  80.305%
62, 0.442,  80.032%
63, 0.438,  80.091%
64, 0.435,  80.321%
65, 0.436,  80.240%
66, 0.431,  80.380%
67, 0.430,  80.602%
68, 0.430,  80.659%
69, 0.427,  80.596%
70, 0.425,  80.814%
71, 0.426,  80.895%
72, 0.422,  81.147%
73, 0.427,  80.949%
74, 0.422,  81.046%
75, 0.418,  81.230%
76, 0.415,  81.418%
77, 0.417,  81.451%
78, 0.423,  80.822%
79, 0.421,  81.071%
