Epoch, Loss, Acc
0, 0.703,  49.873%
1, 0.677,  55.994%
2, 0.663,  59.410%
3, 0.657,  59.646%
4, 0.646,  62.067%
5, 0.640,  63.004%
6, 0.633,  63.804%
7, 0.628,  64.749%
8, 0.619,  66.115%
9, 0.615,  66.236%
10, 0.614,  65.984%
11, 0.603,  67.537%
12, 0.599,  67.463%
13, 0.594,  68.162%
14, 0.591,  68.618%
15, 0.586,  68.945%
16, 0.580,  69.673%
17, 0.575,  69.816%
18, 0.571,  70.539%
19, 0.568,  70.390%
20, 0.562,  71.339%
21, 0.556,  71.495%
22, 0.554,  71.836%
23, 0.547,  72.430%
24, 0.545,  72.457%
25, 0.538,  73.323%
26, 0.534,  73.539%
27, 0.533,  73.507%
28, 0.527,  73.861%
29, 0.524,  74.418%
30, 0.522,  74.436%
31, 0.519,  74.584%
32, 0.514,  74.804%
33, 0.510,  75.358%
34, 0.507,  75.552%
35, 0.502,  75.749%
36, 0.501,  75.939%
37, 0.500,  75.941%
38, 0.493,  76.588%
39, 0.491,  76.604%
40, 0.489,  76.673%
41, 0.483,  77.149%
42, 0.481,  77.376%
43, 0.482,  77.152%
44, 0.476,  77.695%
45, 0.475,  77.659%
46, 0.475,  77.665%
47, 0.466,  78.297%
48, 0.466,  78.299%
49, 0.460,  78.703%
50, 0.461,  78.469%
51, 0.461,  78.491%
52, 0.455,  78.859%
53, 0.456,  78.893%
54, 0.450,  79.354%
55, 0.446,  79.493%
56, 0.447,  79.216%
57, 0.444,  79.717%
58, 0.434,  80.222%
59, 0.442,  79.632%
60, 0.441,  79.515%
61, 0.433,  79.996%
62, 0.435,  79.832%
63, 0.428,  80.592%
64, 0.431,  80.368%
65, 0.436,  80.014%
66, 0.422,  80.917%
67, 0.423,  80.897%
68, 0.430,  80.370%
69, 0.421,  80.901%
70, 0.423,  80.719%
71, 0.418,  81.048%
72, 0.424,  80.606%
73, 0.417,  81.131%
74, 0.412,  81.358%
75, 0.419,  80.727%
76, 0.420,  80.873%
77, 0.415,  81.192%
78, 0.408,  81.624%
79, 0.407,  81.624%
80, 0.417,  80.992%
81, 0.401,  81.964%
82, 0.412,  81.313%
83, 0.405,  81.800%
84, 0.415,  81.139%
85, 0.407,  81.584%
86, 0.399,  82.236%
87, 0.411,  81.305%
88, 0.406,  81.810%
89, 0.408,  81.491%
90, 0.402,  81.770%
91, 0.401,  81.661%
92, 0.399,  81.986%
93, 0.397,  82.085%
94, 0.386,  82.616%
95, 0.395,  81.901%
96, 0.397,  82.465%
97, 0.395,  82.253%
98, 0.386,  83.014%
99, 0.389,  82.626%
100, 0.393,  82.444%
101, 0.399,  82.164%
102, 0.395,  82.255%
103, 0.388,  82.729%
104, 0.387,  82.600%
105, 0.394,  82.303%
106, 0.391,  82.612%
107, 0.394,  82.192%
108, 0.383,  82.929%
109, 0.386,  82.556%
110, 0.388,  82.562%
111, 0.387,  82.719%
112, 0.392,  82.323%
113, 0.386,  82.576%
114, 0.388,  82.481%
115, 0.377,  83.335%
116, 0.388,  82.499%
117, 0.386,  82.642%
118, 0.390,  82.311%
119, 0.388,  82.525%
120, 0.387,  82.667%
121, 0.387,  82.554%
122, 0.397,  81.958%
123, 0.392,  82.168%
124, 0.387,  82.626%
125, 0.384,  82.788%
126, 0.393,  82.297%
127, 0.371,  83.630%
128, 0.382,  82.937%
129, 0.378,  83.145%
130, 0.380,  83.028%
131, 0.384,  82.655%
132, 0.376,  83.257%
133, 0.380,  83.127%
134, 0.371,  83.539%
135, 0.380,  83.063%
136, 0.377,  83.214%
137, 0.379,  82.986%
138, 0.376,  83.156%
139, 0.372,  83.459%
140, 0.384,  82.715%
141, 0.378,  83.042%
142, 0.378,  83.048%
143, 0.384,  82.818%
144, 0.374,  83.253%
145, 0.374,  83.317%
146, 0.387,  82.685%
147, 0.378,  83.053%
148, 0.380,  82.931%
149, 0.377,  83.036%
150, 0.379,  82.972%
151, 0.381,  82.954%
152, 0.373,  83.299%
153, 0.369,  83.453%
154, 0.371,  83.428%
155, 0.377,  83.253%
156, 0.374,  83.388%
157, 0.373,  83.224%
158, 0.371,  83.457%
159, 0.370,  83.584%
160, 0.359,  84.196%
161, 0.374,  83.248%
162, 0.371,  83.461%
163, 0.369,  83.578%
164, 0.382,  83.051%
165, 0.370,  83.535%
166, 0.368,  83.632%
167, 0.373,  83.364%
168, 0.379,  82.895%
169, 0.367,  83.665%
170, 0.370,  83.471%
171, 0.374,  83.517%
172, 0.375,  83.539%
173, 0.367,  83.786%
174, 0.361,  83.984%
175, 0.374,  83.345%
176, 0.369,  83.651%
177, 0.376,  83.109%
178, 0.377,  83.188%
179, 0.373,  83.162%
180, 0.363,  83.727%
181, 0.377,  83.014%
182, 0.370,  83.448%
183, 0.363,  84.156%
184, 0.371,  83.412%
185, 0.367,  83.774%
186, 0.369,  83.459%
187, 0.362,  83.796%
188, 0.358,  84.162%
189, 0.371,  83.497%
190, 0.356,  84.333%
191, 0.365,  83.846%
192, 0.372,  83.483%
193, 0.371,  83.602%
194, 0.364,  83.812%
195, 0.366,  83.707%
196, 0.360,  84.073%
197, 0.363,  83.830%
198, 0.359,  84.297%
199, 0.367,  83.604%
200, 0.365,  83.701%
201, 0.368,  83.622%
202, 0.369,  83.511%
203, 0.362,  83.968%
204, 0.361,  84.117%
205, 0.371,  83.321%
206, 0.369,  83.515%
207, 0.362,  84.002%
208, 0.361,  84.166%
209, 0.358,  84.018%
210, 0.368,  83.675%
211, 0.358,  84.372%
212, 0.365,  83.879%
213, 0.359,  84.111%
214, 0.361,  83.911%
215, 0.357,  84.208%
216, 0.360,  84.063%
217, 0.361,  84.014%
218, 0.369,  83.493%
219, 0.360,  83.792%
220, 0.355,  84.436%
221, 0.365,  83.715%
222, 0.361,  84.046%
223, 0.359,  84.071%
224, 0.360,  84.135%
225, 0.365,  83.689%
226, 0.360,  83.980%
227, 0.362,  84.034%
228, 0.355,  84.337%
229, 0.362,  83.927%
230, 0.362,  84.004%
231, 0.360,  83.982%
232, 0.353,  84.206%
233, 0.358,  84.251%
234, 0.365,  83.723%
235, 0.361,  83.996%
236, 0.360,  84.040%
237, 0.364,  83.725%
238, 0.361,  84.002%
239, 0.359,  84.275%
240, 0.362,  83.970%
241, 0.357,  84.038%
242, 0.365,  83.723%
243, 0.357,  84.044%
244, 0.364,  83.820%
245, 0.362,  83.933%
246, 0.360,  83.929%
247, 0.364,  83.889%
248, 0.357,  84.279%
249, 0.366,  83.432%
250, 0.363,  84.000%
251, 0.353,  84.422%
252, 0.359,  84.040%
253, 0.355,  84.368%
254, 0.368,  83.493%
255, 0.360,  83.873%
256, 0.362,  84.010%
257, 0.356,  84.034%
258, 0.351,  84.562%
259, 0.360,  83.899%
260, 0.360,  83.913%
261, 0.346,  84.796%
262, 0.348,  84.537%
263, 0.352,  84.432%
264, 0.354,  84.246%
265, 0.355,  84.255%
266, 0.360,  84.162%
267, 0.356,  84.384%
268, 0.353,  84.184%
269, 0.363,  83.804%
270, 0.353,  84.432%
271, 0.351,  84.600%
272, 0.353,  84.438%
273, 0.358,  84.246%
274, 0.370,  83.335%
275, 0.354,  84.392%
276, 0.358,  84.295%
277, 0.345,  84.853%
278, 0.354,  84.440%
279, 0.355,  84.293%
280, 0.355,  84.358%
