Epoch, Loss, Acc
0, 0.690,  53.125%
1, 0.668,  58.440%
2, 0.657,  60.503%
3, 0.653,  60.909%
4, 0.643,  63.291%
5, 0.637,  63.818%
6, 0.629,  64.929%
7, 0.624,  65.721%
8, 0.617,  66.291%
9, 0.613,  66.659%
10, 0.606,  67.487%
11, 0.598,  68.618%
12, 0.594,  68.814%
13, 0.589,  69.238%
14, 0.583,  69.923%
15, 0.578,  70.178%
16, 0.572,  70.461%
17, 0.568,  71.244%
18, 0.562,  71.529%
19, 0.557,  72.040%
20, 0.555,  71.891%
21, 0.549,  72.648%
22, 0.544,  72.903%
23, 0.539,  73.182%
24, 0.537,  73.261%
25, 0.533,  73.842%
26, 0.525,  74.438%
27, 0.518,  75.069%
28, 0.513,  75.251%
29, 0.510,  75.616%
30, 0.511,  75.160%
31, 0.511,  75.356%
32, 0.506,  75.644%
33, 0.499,  76.055%
34, 0.499,  75.978%
35, 0.490,  76.628%
36, 0.488,  76.774%
37, 0.481,  77.434%
38, 0.476,  77.695%
39, 0.481,  77.253%
40, 0.480,  77.418%
41, 0.472,  77.832%
42, 0.470,  78.067%
43, 0.470,  77.820%
44, 0.461,  78.541%
45, 0.458,  79.051%
46, 0.458,  78.808%
47, 0.459,  78.806%
48, 0.456,  79.042%
49, 0.457,  78.721%
50, 0.448,  79.356%
51, 0.449,  79.176%
52, 0.445,  79.780%
53, 0.441,  79.760%
54, 0.443,  79.636%
55, 0.437,  80.008%
56, 0.443,  79.552%
57, 0.433,  80.046%
58, 0.439,  79.865%
59, 0.436,  79.895%
60, 0.434,  80.024%
61, 0.430,  80.341%
62, 0.424,  80.855%
63, 0.423,  80.778%
64, 0.420,  81.160%
65, 0.417,  81.202%
66, 0.416,  81.206%
67, 0.413,  81.398%
68, 0.418,  80.998%
69, 0.419,  81.018%
70, 0.411,  81.390%
71, 0.420,  80.960%
72, 0.419,  80.911%
73, 0.416,  81.166%
74, 0.422,  80.636%
75, 0.416,  81.091%
76, 0.410,  81.303%
77, 0.411,  81.473%
78, 0.410,  81.200%
79, 0.409,  81.436%
80, 0.398,  82.240%
81, 0.406,  81.642%
82, 0.414,  81.018%
83, 0.409,  81.503%
84, 0.398,  82.008%
85, 0.394,  82.339%
86, 0.402,  81.903%
87, 0.399,  82.055%
88, 0.404,  81.739%
89, 0.396,  82.085%
90, 0.392,  82.588%
91, 0.403,  81.762%
92, 0.402,  81.743%
93, 0.391,  82.345%
94, 0.397,  82.307%
95, 0.391,  82.667%
96, 0.398,  82.006%
97, 0.388,  82.438%
98, 0.398,  82.040%
99, 0.385,  82.531%
100, 0.383,  82.657%
101, 0.388,  82.632%
102, 0.400,  81.701%
103, 0.391,  82.341%
104, 0.386,  82.580%
105, 0.389,  82.493%
106, 0.395,  82.129%
107, 0.380,  83.129%
108, 0.392,  82.398%
109, 0.391,  82.309%
110, 0.384,  82.610%
111, 0.381,  82.947%
112, 0.388,  82.444%
113, 0.393,  82.238%
114, 0.383,  82.909%
115, 0.396,  82.111%
116, 0.388,  82.434%
117, 0.385,  82.588%
118, 0.386,  82.665%
119, 0.383,  82.861%
120, 0.380,  82.976%
121, 0.380,  82.865%
122, 0.368,  83.867%
123, 0.377,  83.097%
124, 0.373,  83.390%
125, 0.389,  82.208%
