Epoch, Loss, Acc
0, 0.685,  54.986%
1, 0.669,  58.986%
2, 0.660,  60.766%
3, 0.653,  61.228%
4, 0.643,  63.844%
5, 0.637,  64.608%
6, 0.631,  65.267%
7, 0.625,  65.881%
8, 0.617,  66.863%
9, 0.610,  67.394%
10, 0.607,  67.170%
11, 0.601,  68.420%
12, 0.596,  68.325%
13, 0.588,  69.273%
14, 0.585,  69.162%
15, 0.576,  70.560%
16, 0.574,  71.121%
17, 0.566,  71.028%
18, 0.564,  71.220%
19, 0.554,  72.453%
20, 0.555,  72.208%
21, 0.549,  72.598%
22, 0.545,  73.549%
23, 0.542,  73.182%
24, 0.540,  73.483%
25, 0.532,  74.287%
26, 0.526,  74.380%
27, 0.527,  73.887%
28, 0.526,  74.230%
29, 0.521,  74.768%
30, 0.515,  75.032%
31, 0.511,  75.747%
32, 0.507,  75.628%
33, 0.505,  75.927%
34, 0.496,  77.002%
35, 0.502,  75.737%
36, 0.495,  76.408%
37, 0.494,  76.493%
38, 0.490,  76.770%
39, 0.489,  76.558%
40, 0.484,  77.095%
41, 0.484,  77.186%
42, 0.474,  77.842%
43, 0.474,  77.947%
44, 0.477,  77.667%
45, 0.469,  78.014%
46, 0.467,  78.364%
47, 0.466,  78.390%
48, 0.466,  78.339%
49, 0.460,  78.626%
50, 0.457,  79.051%
51, 0.451,  79.297%
52, 0.464,  78.402%
53, 0.455,  78.990%
54, 0.450,  79.137%
55, 0.454,  78.808%
56, 0.453,  79.158%
57, 0.447,  79.366%
58, 0.444,  79.414%
59, 0.447,  79.172%
60, 0.438,  79.988%
61, 0.436,  80.200%
62, 0.439,  79.907%
63, 0.436,  80.097%
64, 0.436,  80.263%
65, 0.431,  80.220%
66, 0.441,  79.636%
67, 0.434,  80.085%
68, 0.424,  80.758%
69, 0.429,  80.345%
70, 0.421,  80.980%
71, 0.422,  80.968%
72, 0.422,  80.810%
73, 0.417,  81.030%
74, 0.418,  81.208%
75, 0.416,  81.156%
76, 0.414,  81.362%
77, 0.418,  81.042%
78, 0.413,  81.261%
79, 0.407,  81.604%
80, 0.416,  81.079%
81, 0.411,  81.244%
82, 0.418,  80.899%
83, 0.404,  81.907%
84, 0.412,  81.380%
85, 0.418,  80.840%
86, 0.415,  81.016%
87, 0.415,  81.178%
88, 0.401,  82.061%
89, 0.409,  81.501%
90, 0.404,  81.655%
91, 0.407,  81.588%
92, 0.406,  81.846%
93, 0.399,  81.988%
94, 0.406,  81.491%
95, 0.395,  82.291%
96, 0.403,  81.733%
97, 0.396,  82.079%
98, 0.400,  81.701%
99, 0.399,  81.865%
100, 0.389,  82.495%
101, 0.392,  82.543%
102, 0.401,  81.943%
103, 0.397,  82.152%
104, 0.398,  82.115%
105, 0.398,  82.069%
106, 0.388,  82.467%
107, 0.395,  82.339%
108, 0.395,  82.026%
109, 0.386,  82.717%
110, 0.391,  82.263%
111, 0.391,  82.442%
112, 0.396,  82.109%
113, 0.382,  82.802%
114, 0.386,  82.707%
115, 0.396,  82.042%
116, 0.395,  82.267%
117, 0.384,  82.895%
118, 0.380,  83.093%
119, 0.385,  82.723%
120, 0.386,  82.572%
121, 0.387,  82.669%
122, 0.399,  81.873%
123, 0.394,  82.297%
124, 0.380,  83.137%
125, 0.381,  82.935%
126, 0.383,  82.842%
127, 0.384,  82.834%
128, 0.378,  83.149%
129, 0.387,  82.762%
130, 0.386,  82.624%
131, 0.383,  82.933%
132, 0.383,  82.721%
133, 0.378,  83.220%
134, 0.377,  83.255%
135, 0.375,  83.255%
136, 0.379,  83.224%
137, 0.391,  82.418%
138, 0.387,  82.556%
139, 0.383,  83.071%
140, 0.375,  83.220%
141, 0.377,  83.085%
142, 0.384,  82.911%
143, 0.387,  82.529%
144, 0.379,  82.974%
145, 0.374,  83.232%
146, 0.382,  82.990%
147, 0.384,  82.782%
148, 0.377,  83.160%
149, 0.375,  83.261%
150, 0.384,  82.790%
151, 0.374,  83.311%
152, 0.376,  83.156%
153, 0.372,  83.390%
154, 0.382,  82.836%
155, 0.359,  84.257%
156, 0.369,  83.663%
157, 0.373,  83.170%
158, 0.383,  82.846%
159, 0.372,  83.438%
160, 0.364,  83.990%
161, 0.374,  83.184%
162, 0.370,  83.434%
163, 0.372,  83.184%
164, 0.371,  83.382%
165, 0.362,  84.063%
166, 0.365,  83.828%
167, 0.371,  83.442%
168, 0.377,  83.242%
169, 0.382,  82.974%
170, 0.371,  83.586%
171, 0.379,  82.851%
172, 0.370,  83.572%
173, 0.369,  83.412%
174, 0.366,  83.764%
175, 0.370,  83.594%
176, 0.372,  83.465%
177, 0.369,  83.457%
178, 0.365,  83.743%
179, 0.366,  83.707%
180, 0.370,  83.671%
181, 0.371,  83.473%
182, 0.379,  83.133%
183, 0.368,  83.667%
184, 0.359,  84.105%
185, 0.362,  84.105%
186, 0.363,  83.929%
187, 0.363,  83.905%
188, 0.365,  83.792%
189, 0.368,  83.653%
190, 0.371,  83.457%
191, 0.373,  83.349%
192, 0.371,  83.586%
193, 0.369,  83.446%
194, 0.360,  84.121%
195, 0.352,  84.424%
196, 0.356,  84.196%
197, 0.365,  83.820%
198, 0.365,  83.756%
199, 0.366,  83.554%
200, 0.360,  84.263%
201, 0.368,  83.422%
202, 0.376,  83.164%
203, 0.368,  83.622%
204, 0.366,  83.992%
205, 0.357,  84.295%
206, 0.367,  83.642%
207, 0.360,  83.984%
208, 0.363,  83.792%
209, 0.362,  84.133%
210, 0.360,  83.937%
211, 0.360,  83.974%
212, 0.365,  83.865%
213, 0.352,  84.582%
214, 0.357,  84.354%
215, 0.371,  83.525%
216, 0.371,  83.335%
217, 0.356,  84.141%
218, 0.366,  83.808%
219, 0.356,  84.273%
220, 0.357,  84.198%
221, 0.366,  83.669%
222, 0.363,  83.697%
223, 0.359,  84.143%
224, 0.356,  84.214%
225, 0.348,  84.782%
226, 0.362,  83.846%
227, 0.354,  84.465%
228, 0.369,  83.519%
229, 0.357,  84.343%
230, 0.371,  83.483%
231, 0.370,  83.376%
232, 0.355,  84.374%
233, 0.358,  83.956%
234, 0.360,  84.101%
235, 0.356,  84.386%
236, 0.366,  83.903%
237, 0.372,  83.236%
238, 0.350,  84.701%
239, 0.352,  84.463%
240, 0.355,  84.259%
241, 0.366,  83.685%
242, 0.360,  84.248%
243, 0.358,  83.943%
244, 0.353,  84.412%
245, 0.356,  84.196%
246, 0.360,  84.081%
247, 0.371,  83.287%
