Epoch, Loss, Acc
0, 0.687,  54.143%
1, 0.673,  57.461%
2, 0.662,  59.917%
3, 0.654,  61.473%
4, 0.645,  62.554%
5, 0.637,  63.533%
6, 0.633,  63.889%
7, 0.625,  64.954%
8, 0.620,  65.586%
9, 0.613,  66.453%
10, 0.605,  67.289%
11, 0.602,  67.234%
12, 0.597,  67.661%
13, 0.590,  68.616%
14, 0.583,  69.489%
15, 0.578,  69.463%
16, 0.576,  69.610%
17, 0.568,  70.459%
18, 0.563,  71.014%
19, 0.560,  71.432%
20, 0.555,  71.580%
21, 0.551,  72.149%
22, 0.548,  72.063%
23, 0.541,  72.620%
24, 0.538,  73.242%
25, 0.537,  72.937%
26, 0.534,  73.273%
27, 0.527,  73.784%
28, 0.523,  74.283%
29, 0.521,  74.214%
30, 0.515,  74.596%
31, 0.511,  74.909%
32, 0.509,  75.295%
33, 0.500,  76.065%
34, 0.500,  76.137%
35, 0.497,  76.222%
36, 0.490,  76.713%
37, 0.495,  76.040%
38, 0.490,  76.489%
39, 0.488,  76.697%
40, 0.481,  77.028%
41, 0.479,  77.382%
42, 0.475,  77.493%
43, 0.475,  77.640%
44, 0.467,  78.097%
45, 0.471,  77.711%
46, 0.464,  78.061%
47, 0.469,  77.931%
48, 0.464,  78.269%
49, 0.457,  78.572%
50, 0.461,  78.382%
51, 0.459,  78.586%
52, 0.454,  78.808%
53, 0.450,  78.990%
54, 0.445,  79.523%
55, 0.446,  79.228%
56, 0.439,  79.786%
57, 0.447,  79.267%
58, 0.439,  79.743%
59, 0.430,  80.331%
60, 0.439,  79.687%
61, 0.435,  80.046%
62, 0.431,  80.228%
63, 0.430,  80.339%
64, 0.429,  80.315%
65, 0.428,  80.277%
66, 0.425,  80.745%
67, 0.424,  80.695%
68, 0.418,  80.893%
69, 0.425,  80.362%
70, 0.424,  80.653%
71, 0.420,  80.982%
72, 0.413,  81.446%
73, 0.413,  81.246%
74, 0.415,  81.236%
75, 0.413,  81.188%
76, 0.414,  81.180%
77, 0.414,  81.119%
78, 0.409,  81.562%
79, 0.419,  80.632%
80, 0.405,  81.564%
81, 0.418,  80.863%
82, 0.405,  81.620%
83, 0.408,  81.483%
84, 0.407,  81.541%
85, 0.407,  81.507%
86, 0.405,  81.778%
87, 0.404,  81.640%
88, 0.404,  81.659%
89, 0.408,  81.525%
90, 0.401,  81.980%
91, 0.398,  82.139%
92, 0.401,  81.840%
93, 0.399,  82.251%
94, 0.403,  81.784%
95, 0.405,  81.703%
96, 0.394,  82.156%
97, 0.397,  82.063%
98, 0.388,  82.790%
99, 0.401,  81.844%
100, 0.395,  82.117%
101, 0.394,  82.248%
102, 0.394,  82.174%
103, 0.388,  82.634%
104, 0.400,  81.677%
105, 0.402,  81.838%
106, 0.389,  82.612%
107, 0.394,  82.329%
108, 0.393,  82.321%
109, 0.389,  82.610%
110, 0.389,  82.461%
111, 0.391,  82.356%
112, 0.389,  82.442%
113, 0.390,  82.406%
114, 0.391,  82.564%
115, 0.391,  82.428%
116, 0.391,  82.451%
117, 0.388,  82.446%
118, 0.397,  82.135%
119, 0.379,  83.093%
120, 0.390,  82.477%
121, 0.382,  82.976%
122, 0.382,  82.653%
123, 0.392,  82.317%
124, 0.383,  82.863%
125, 0.388,  82.665%
126, 0.380,  83.065%
127, 0.385,  82.618%
128, 0.385,  82.699%
129, 0.378,  83.061%
130, 0.378,  83.117%
131, 0.378,  83.178%
132, 0.377,  83.188%
133, 0.377,  83.061%
134, 0.390,  82.269%
135, 0.380,  83.200%
136, 0.377,  83.198%
137, 0.386,  82.853%
138, 0.377,  83.149%
139, 0.375,  83.283%
140, 0.376,  83.323%
141, 0.376,  83.509%
142, 0.374,  83.222%
143, 0.384,  82.729%
144, 0.384,  82.954%
145, 0.373,  83.349%
146, 0.371,  83.541%
147, 0.380,  83.073%
148, 0.374,  83.267%
149, 0.379,  83.119%
150, 0.387,  82.390%
151, 0.365,  83.822%
152, 0.371,  83.630%
153, 0.378,  83.020%
154, 0.383,  82.810%
155, 0.379,  83.061%
156, 0.377,  83.101%
157, 0.371,  83.503%
158, 0.379,  82.935%
159, 0.380,  82.796%
160, 0.371,  83.396%
161, 0.381,  82.705%
162, 0.375,  83.279%
163, 0.372,  83.412%
164, 0.375,  83.267%
165, 0.381,  82.873%
166, 0.374,  83.414%
167, 0.370,  83.364%
168, 0.378,  83.079%
169, 0.379,  83.032%
170, 0.367,  83.723%
171, 0.376,  83.184%
172, 0.376,  83.208%
173, 0.381,  82.885%
174, 0.367,  83.679%
175, 0.366,  83.691%
176, 0.365,  83.820%
177, 0.369,  83.642%
178, 0.369,  83.501%
179, 0.372,  83.461%
180, 0.367,  83.554%
181, 0.371,  83.491%
182, 0.364,  83.820%
183, 0.369,  83.467%
184, 0.371,  83.758%
185, 0.369,  83.628%
186, 0.370,  83.523%
187, 0.371,  83.539%
188, 0.377,  83.160%
189, 0.376,  83.127%
190, 0.362,  83.954%
191, 0.372,  83.473%
192, 0.373,  83.331%
193, 0.376,  83.149%
194, 0.358,  84.055%
195, 0.364,  83.820%
196, 0.360,  84.279%
197, 0.362,  84.040%
198, 0.365,  83.818%
199, 0.365,  83.889%
200, 0.372,  83.222%
201, 0.372,  83.305%
202, 0.365,  83.760%
203, 0.374,  83.283%
204, 0.362,  84.095%
205, 0.365,  83.600%
206, 0.359,  84.119%
207, 0.365,  83.610%
208, 0.358,  84.380%
209, 0.360,  84.145%
210, 0.363,  83.802%
211, 0.358,  83.966%
212, 0.378,  83.065%
213, 0.365,  83.705%
214, 0.359,  83.931%
215, 0.377,  83.059%
216, 0.372,  83.244%
217, 0.361,  84.006%
218, 0.373,  83.228%
219, 0.357,  84.271%
220, 0.368,  83.580%
221, 0.364,  83.846%
222, 0.357,  84.354%
223, 0.368,  83.651%
224, 0.368,  83.646%
225, 0.357,  84.226%
226, 0.360,  84.022%
227, 0.360,  84.079%
228, 0.368,  83.644%
229, 0.354,  84.356%
230, 0.361,  84.004%
231, 0.353,  84.715%
232, 0.358,  84.279%
233, 0.362,  83.895%
234, 0.362,  84.079%
235, 0.363,  84.032%
236, 0.347,  84.713%
237, 0.359,  84.301%
238, 0.369,  83.521%
239, 0.351,  84.277%
240, 0.350,  84.497%
241, 0.360,  84.109%
242, 0.370,  83.826%
243, 0.362,  83.883%
244, 0.355,  84.432%
245, 0.364,  83.802%
246, 0.364,  83.931%
247, 0.361,  84.030%
248, 0.367,  83.721%
249, 0.363,  83.857%
250, 0.362,  83.861%
251, 0.356,  84.129%
252, 0.376,  83.135%
253, 0.350,  84.657%
254, 0.352,  84.444%
255, 0.361,  83.931%
256, 0.358,  84.071%
257, 0.358,  83.994%
258, 0.373,  83.317%
259, 0.362,  83.941%
260, 0.358,  84.111%
261, 0.353,  84.154%
262, 0.361,  83.960%
263, 0.356,  84.176%
264, 0.358,  84.065%
265, 0.366,  83.560%
266, 0.365,  83.683%
267, 0.353,  84.347%
268, 0.361,  83.887%
269, 0.365,  83.877%
270, 0.359,  84.055%
271, 0.360,  84.079%
272, 0.371,  83.541%
273, 0.358,  84.004%
274, 0.364,  83.685%
275, 0.361,  83.834%
276, 0.359,  84.196%
277, 0.359,  84.170%
278, 0.351,  84.475%
279, 0.352,  84.414%
280, 0.358,  83.939%
281, 0.357,  84.075%
282, 0.359,  84.055%
283, 0.346,  84.903%
284, 0.349,  84.669%
285, 0.353,  84.475%
286, 0.366,  83.570%
287, 0.365,  83.875%
288, 0.365,  83.939%
289, 0.360,  84.145%
290, 0.353,  84.372%
291, 0.373,  83.360%
292, 0.356,  84.402%
293, 0.347,  84.804%
294, 0.351,  84.489%
295, 0.359,  84.115%
296, 0.356,  84.178%
297, 0.360,  84.000%
298, 0.357,  84.143%
299, 0.349,  84.646%
300, 0.349,  84.752%
301, 0.358,  84.057%
302, 0.350,  84.622%
303, 0.346,  84.731%
304, 0.357,  84.024%
305, 0.357,  84.051%
306, 0.349,  84.636%
307, 0.351,  84.293%
308, 0.356,  84.358%
309, 0.352,  84.285%
310, 0.361,  84.022%
311, 0.360,  83.909%
312, 0.347,  84.749%
313, 0.348,  84.758%
314, 0.355,  84.196%
315, 0.358,  84.141%
316, 0.351,  84.594%
317, 0.354,  84.396%
318, 0.359,  84.036%
319, 0.356,  84.156%
320, 0.360,  84.139%
321, 0.347,  84.790%
322, 0.353,  84.341%
323, 0.343,  84.927%
324, 0.358,  83.978%
325, 0.357,  84.162%
326, 0.348,  84.824%
327, 0.352,  84.521%
328, 0.351,  84.345%
329, 0.360,  84.079%
330, 0.353,  84.648%
331, 0.356,  84.097%
332, 0.344,  84.947%
333, 0.353,  84.483%
334, 0.355,  84.455%
335, 0.351,  84.372%
336, 0.355,  84.327%
337, 0.350,  84.709%
338, 0.342,  85.018%
339, 0.349,  84.549%
340, 0.341,  85.038%
341, 0.354,  84.214%
342, 0.352,  84.453%
343, 0.349,  84.564%
344, 0.356,  84.145%
345, 0.345,  84.899%
346, 0.347,  84.719%
347, 0.352,  84.519%
348, 0.343,  85.024%
349, 0.348,  84.578%
350, 0.348,  84.754%
351, 0.356,  84.287%
352, 0.341,  85.028%
353, 0.350,  84.432%
354, 0.346,  84.731%
355, 0.344,  84.842%
356, 0.357,  84.271%
357, 0.350,  84.566%
358, 0.344,  85.069%
359, 0.351,  84.382%
360, 0.343,  84.857%
361, 0.342,  84.970%
362, 0.360,  84.055%
363, 0.346,  84.925%
364, 0.352,  84.497%
365, 0.358,  83.990%
366, 0.352,  84.354%
367, 0.350,  84.475%
368, 0.361,  83.933%
369, 0.347,  84.848%
370, 0.351,  84.390%
371, 0.360,  84.069%
372, 0.351,  84.392%
373, 0.345,  84.998%
374, 0.352,  84.321%
375, 0.347,  84.541%
376, 0.346,  84.628%
377, 0.341,  84.949%
378, 0.355,  84.311%
379, 0.357,  84.105%
380, 0.358,  84.154%
381, 0.349,  84.814%
382, 0.354,  84.311%
383, 0.349,  84.691%
384, 0.346,  84.733%
385, 0.353,  84.370%
386, 0.356,  84.162%
387, 0.343,  84.911%
388, 0.347,  84.723%
389, 0.341,  85.053%
390, 0.352,  84.511%
391, 0.341,  85.044%
392, 0.358,  84.117%
393, 0.348,  84.614%
394, 0.352,  84.560%
395, 0.342,  84.931%
396, 0.356,  84.152%
397, 0.360,  84.075%
398, 0.346,  84.939%
399, 0.350,  84.535%
400, 0.351,  84.636%
401, 0.351,  84.574%
402, 0.348,  84.556%
403, 0.347,  84.689%
404, 0.340,  85.079%
405, 0.343,  84.828%
406, 0.342,  85.067%
407, 0.361,  83.786%
408, 0.349,  84.642%
409, 0.340,  85.095%
410, 0.349,  84.602%
411, 0.350,  84.453%
412, 0.343,  84.941%
413, 0.346,  84.778%
414, 0.358,  84.071%
415, 0.335,  85.410%
416, 0.344,  84.903%
417, 0.349,  84.554%
418, 0.345,  84.859%
419, 0.345,  84.832%
420, 0.348,  84.509%
421, 0.352,  84.564%
422, 0.341,  85.051%
423, 0.347,  84.663%
424, 0.349,  84.519%
425, 0.339,  85.069%
426, 0.337,  85.329%
