Epoch, Loss, Acc
0, 0.686,  54.036%
1, 0.672,  58.776%
2, 0.663,  60.935%
3, 0.655,  61.614%
4, 0.646,  62.919%
5, 0.639,  63.598%
6, 0.628,  64.937%
7, 0.624,  66.073%
8, 0.615,  66.491%
9, 0.609,  67.303%
10, 0.603,  67.255%
11, 0.600,  68.315%
12, 0.591,  69.202%
13, 0.589,  69.230%
14, 0.581,  69.644%
15, 0.576,  70.749%
16, 0.572,  70.529%
17, 0.561,  71.265%
18, 0.559,  71.743%
19, 0.555,  72.253%
20, 0.548,  72.762%
21, 0.546,  72.826%
22, 0.540,  73.283%
23, 0.538,  73.382%
24, 0.532,  73.566%
25, 0.528,  73.893%
26, 0.525,  74.040%
27, 0.517,  74.717%
28, 0.516,  75.057%
29, 0.514,  75.129%
30, 0.511,  75.511%
31, 0.503,  76.133%
32, 0.497,  76.661%
33, 0.500,  76.198%
34, 0.498,  76.083%
35, 0.493,  76.455%
36, 0.489,  77.133%
37, 0.482,  77.570%
38, 0.489,  76.887%
39, 0.483,  77.279%
40, 0.481,  77.582%
41, 0.471,  78.257%
42, 0.471,  78.448%
43, 0.466,  78.394%
44, 0.467,  78.457%
45, 0.469,  78.186%
46, 0.455,  79.234%
47, 0.461,  78.790%
48, 0.456,  79.248%
49, 0.463,  78.394%
50, 0.446,  79.727%
51, 0.452,  79.392%
52, 0.453,  78.992%
53, 0.449,  79.210%
54, 0.446,  79.632%
55, 0.446,  79.352%
56, 0.438,  80.107%
57, 0.436,  80.121%
58, 0.438,  80.083%
59, 0.439,  80.024%
60, 0.425,  80.764%
61, 0.429,  80.677%
62, 0.430,  80.455%
63, 0.430,  80.271%
64, 0.428,  80.374%
65, 0.424,  80.804%
66, 0.429,  80.380%
67, 0.411,  81.796%
68, 0.426,  80.685%
69, 0.419,  81.073%
70, 0.418,  81.089%
71, 0.420,  80.840%
72, 0.416,  81.172%
73, 0.416,  81.277%
74, 0.415,  81.156%
75, 0.409,  81.547%
76, 0.419,  81.010%
77, 0.416,  80.962%
78, 0.409,  81.386%
79, 0.405,  81.760%
80, 0.411,  81.325%
81, 0.402,  81.826%
82, 0.408,  81.497%
83, 0.399,  82.372%
84, 0.413,  81.378%
85, 0.401,  82.018%
86, 0.404,  81.646%
87, 0.401,  81.798%
88, 0.399,  82.087%
89, 0.404,  81.731%
90, 0.405,  81.800%
91, 0.398,  82.002%
92, 0.400,  81.907%
