Epoch, Loss, Acc
0, 0.688,  53.226%
1, 0.674,  57.372%
2, 0.664,  59.289%
3, 0.654,  61.345%
4, 0.646,  62.418%
5, 0.637,  63.576%
6, 0.629,  64.705%
7, 0.623,  65.218%
8, 0.618,  65.978%
9, 0.612,  66.598%
10, 0.604,  67.489%
11, 0.599,  67.980%
12, 0.591,  69.293%
13, 0.589,  68.949%
14, 0.581,  69.507%
15, 0.575,  69.745%
16, 0.571,  70.493%
17, 0.564,  70.899%
18, 0.559,  71.238%
19, 0.556,  71.582%
20, 0.549,  72.549%
21, 0.546,  72.501%
22, 0.538,  73.113%
23, 0.534,  73.467%
24, 0.529,  73.832%
25, 0.524,  74.115%
26, 0.520,  74.545%
27, 0.521,  74.398%
28, 0.512,  75.002%
29, 0.511,  75.230%
30, 0.505,  75.685%
31, 0.502,  75.887%
32, 0.500,  75.838%
33, 0.494,  76.364%
34, 0.489,  76.796%
35, 0.490,  76.681%
36, 0.485,  76.857%
37, 0.481,  77.384%
38, 0.474,  77.964%
39, 0.476,  77.762%
40, 0.473,  77.820%
41, 0.468,  78.368%
42, 0.464,  78.455%
43, 0.456,  78.824%
44, 0.460,  78.444%
45, 0.461,  78.634%
46, 0.455,  78.901%
47, 0.453,  79.030%
48, 0.449,  79.131%
49, 0.458,  78.511%
50, 0.450,  79.180%
51, 0.450,  79.236%
52, 0.440,  79.697%
53, 0.442,  79.529%
54, 0.439,  79.851%
55, 0.437,  79.790%
56, 0.440,  79.853%
57, 0.430,  80.180%
58, 0.436,  79.865%
59, 0.431,  80.220%
60, 0.424,  80.877%
61, 0.421,  81.016%
62, 0.426,  80.659%
63, 0.424,  80.741%
64, 0.424,  80.681%
65, 0.425,  80.572%
66, 0.429,  80.297%
67, 0.414,  81.269%
68, 0.418,  80.988%
69, 0.415,  81.101%
70, 0.414,  81.349%
71, 0.413,  81.277%
72, 0.418,  80.865%
73, 0.410,  81.400%
74, 0.406,  81.618%
75, 0.402,  81.855%
76, 0.416,  81.101%
77, 0.405,  81.798%
78, 0.411,  81.525%
79, 0.403,  81.661%
80, 0.395,  82.354%
81, 0.402,  81.846%
82, 0.397,  82.182%
83, 0.407,  81.483%
84, 0.403,  81.776%
85, 0.407,  81.673%
86, 0.404,  81.871%
87, 0.398,  81.915%
88, 0.410,  81.370%
89, 0.404,  81.630%
90, 0.403,  81.685%
91, 0.409,  81.467%
92, 0.397,  82.109%
93, 0.398,  81.933%
94, 0.387,  82.638%
95, 0.395,  82.184%
96, 0.390,  82.620%
97, 0.401,  81.778%
98, 0.394,  82.279%
99, 0.386,  82.608%
100, 0.397,  82.139%
101, 0.386,  82.651%
102, 0.398,  82.034%
103, 0.389,  82.386%
104, 0.397,  82.018%
105, 0.389,  82.489%
106, 0.392,  82.238%
107, 0.391,  82.362%
108, 0.387,  82.653%
109, 0.388,  82.519%
110, 0.392,  82.192%
111, 0.382,  82.929%
112, 0.387,  82.592%
113, 0.382,  82.786%
114, 0.389,  82.495%
115, 0.394,  82.075%
116, 0.397,  81.943%
117, 0.392,  82.230%
118, 0.388,  82.511%
119, 0.383,  82.786%
120, 0.374,  83.356%
121, 0.380,  83.117%
122, 0.381,  82.901%
123, 0.385,  82.596%
124, 0.384,  82.624%
125, 0.372,  83.459%
126, 0.388,  82.549%
127, 0.383,  82.754%
128, 0.390,  82.358%
129, 0.381,  82.988%
130, 0.383,  82.913%
131, 0.379,  83.059%
132, 0.377,  83.131%
133, 0.379,  83.024%
134, 0.378,  83.182%
135, 0.374,  83.329%
136, 0.376,  83.285%
137, 0.388,  82.406%
138, 0.374,  83.228%
139, 0.378,  83.018%
140, 0.377,  83.287%
141, 0.380,  82.958%
142, 0.380,  82.976%
