Epoch, Loss, Acc
0, 0.688,  54.396%
1, 0.672,  58.398%
2, 0.663,  60.685%
3, 0.655,  62.061%
4, 0.648,  63.085%
5, 0.642,  63.968%
6, 0.635,  64.911%
7, 0.626,  65.735%
8, 0.623,  65.871%
9, 0.616,  66.683%
10, 0.611,  67.038%
11, 0.606,  67.444%
12, 0.599,  68.129%
13, 0.596,  68.576%
14, 0.592,  68.646%
15, 0.583,  70.004%
16, 0.581,  69.899%
17, 0.573,  70.362%
18, 0.569,  70.885%
19, 0.566,  70.958%
20, 0.562,  71.489%
21, 0.559,  71.636%
22, 0.554,  72.008%
23, 0.549,  72.424%
24, 0.546,  72.483%
25, 0.541,  72.945%
26, 0.538,  73.170%
27, 0.532,  73.735%
28, 0.529,  73.687%
29, 0.532,  73.626%
30, 0.525,  74.147%
31, 0.518,  74.642%
32, 0.515,  74.655%
33, 0.511,  75.152%
34, 0.508,  75.489%
35, 0.504,  75.636%
36, 0.508,  74.952%
37, 0.502,  75.614%
38, 0.499,  75.636%
39, 0.496,  76.085%
40, 0.493,  76.208%
41, 0.487,  76.788%
42, 0.487,  76.570%
43, 0.480,  77.289%
44, 0.478,  77.354%
45, 0.476,  77.172%
46, 0.472,  77.667%
47, 0.471,  77.871%
48, 0.470,  77.865%
49, 0.472,  77.602%
50, 0.464,  78.127%
51, 0.462,  78.170%
52, 0.465,  78.131%
53, 0.462,  78.317%
54, 0.452,  78.887%
55, 0.450,  78.899%
56, 0.453,  78.891%
57, 0.451,  79.055%
58, 0.447,  79.190%
59, 0.443,  79.683%
60, 0.442,  79.457%
61, 0.448,  79.414%
62, 0.440,  79.887%
63, 0.440,  79.707%
64, 0.439,  79.739%
65, 0.431,  80.352%
66, 0.430,  80.216%
67, 0.429,  80.525%
68, 0.420,  80.988%
69, 0.428,  80.562%
70, 0.427,  80.390%
71, 0.422,  80.705%
72, 0.435,  79.810%
73, 0.425,  80.602%
74, 0.420,  80.895%
75, 0.418,  80.943%
76, 0.419,  80.857%
77, 0.414,  81.156%
78, 0.414,  81.121%
79, 0.422,  80.840%
80, 0.407,  81.618%
81, 0.405,  81.699%
82, 0.400,  82.123%
83, 0.413,  80.982%
84, 0.406,  81.683%
85, 0.416,  81.121%
86, 0.416,  81.143%
87, 0.406,  81.638%
88, 0.400,  82.242%
89, 0.409,  81.145%
90, 0.409,  81.333%
91, 0.400,  81.897%
92, 0.402,  81.905%
93, 0.402,  81.893%
94, 0.402,  81.552%
95, 0.406,  81.590%
96, 0.395,  82.230%
97, 0.409,  81.281%
98, 0.402,  81.564%
99, 0.402,  81.998%
100, 0.393,  82.329%
101, 0.397,  82.089%
102, 0.405,  81.366%
103, 0.398,  82.105%
104, 0.394,  82.230%
105, 0.395,  82.216%
106, 0.397,  82.164%
107, 0.395,  82.097%
108, 0.399,  81.889%
109, 0.390,  82.293%
110, 0.394,  82.115%
111, 0.396,  82.192%
112, 0.389,  82.673%
113, 0.394,  82.285%
114, 0.391,  82.378%
115, 0.382,  82.830%
116, 0.388,  82.618%
117, 0.384,  82.747%
118, 0.391,  82.253%
119, 0.395,  82.137%
120, 0.385,  82.871%
121, 0.387,  82.749%
122, 0.388,  82.592%
123, 0.374,  83.620%
124, 0.388,  82.531%
125, 0.383,  82.939%
126, 0.382,  83.012%
127, 0.376,  83.287%
128, 0.392,  82.152%
129, 0.381,  83.067%
130, 0.387,  82.745%
131, 0.378,  83.170%
132, 0.382,  82.758%
133, 0.383,  83.030%
134, 0.379,  83.246%
135, 0.385,  82.693%
136, 0.381,  82.923%
137, 0.377,  83.329%
138, 0.378,  82.927%
139, 0.384,  82.707%
140, 0.370,  83.545%
141, 0.383,  82.863%
142, 0.379,  82.921%
143, 0.384,  82.901%
144, 0.385,  82.525%
145, 0.379,  83.133%
146, 0.380,  82.974%
147, 0.388,  82.572%
148, 0.378,  83.059%
149, 0.379,  83.030%
150, 0.383,  82.743%
151, 0.390,  82.402%
152, 0.374,  83.257%
153, 0.377,  83.248%
154, 0.372,  83.517%
155, 0.375,  83.293%
156, 0.373,  83.246%
157, 0.382,  82.996%
158, 0.382,  82.824%
159, 0.379,  83.022%
160, 0.368,  83.578%
161, 0.368,  83.614%
162, 0.381,  82.867%
163, 0.370,  83.382%
164, 0.379,  83.053%
165, 0.377,  83.238%
166, 0.379,  83.000%
167, 0.378,  83.079%
168, 0.381,  82.949%
169, 0.371,  83.430%
170, 0.367,  83.739%
171, 0.368,  83.640%
172, 0.363,  83.935%
173, 0.372,  83.192%
174, 0.367,  83.711%
175, 0.375,  83.281%
176, 0.362,  84.117%
177, 0.368,  83.731%
178, 0.369,  83.588%
179, 0.382,  82.596%
180, 0.374,  82.994%
181, 0.362,  84.026%
182, 0.370,  83.384%
183, 0.369,  83.667%
184, 0.375,  83.125%
185, 0.374,  83.442%
186, 0.370,  83.459%
187, 0.370,  83.358%
188, 0.376,  83.117%
189, 0.378,  83.018%
190, 0.380,  83.053%
191, 0.370,  83.459%
192, 0.380,  82.984%
193, 0.362,  83.816%
194, 0.363,  83.903%
195, 0.362,  83.887%
196, 0.368,  83.578%
197, 0.361,  83.901%
198, 0.363,  83.719%
199, 0.371,  83.509%
200, 0.372,  83.259%
201, 0.359,  84.046%
202, 0.358,  84.248%
203, 0.368,  83.665%
204, 0.372,  83.269%
205, 0.377,  83.253%
206, 0.363,  83.976%
207, 0.353,  84.517%
208, 0.371,  83.398%
209, 0.366,  83.842%
210, 0.364,  83.578%
211, 0.372,  83.343%
212, 0.360,  84.176%
213, 0.366,  83.806%
214, 0.368,  83.570%
215, 0.370,  83.370%
216, 0.361,  84.000%
217, 0.358,  84.172%
218, 0.358,  84.364%
219, 0.364,  83.822%
220, 0.354,  84.477%
221, 0.363,  83.582%
222, 0.363,  83.887%
223, 0.358,  84.174%
224, 0.358,  84.109%
225, 0.365,  83.677%
226, 0.358,  84.099%
227, 0.367,  83.416%
228, 0.362,  83.903%
229, 0.363,  83.933%
230, 0.364,  83.895%
231, 0.363,  83.853%
232, 0.359,  84.154%
