Epoch, Loss, Acc
0, 0.727,  50.459%
1, 0.693,  53.663%
2, 0.683,  54.923%
3, 0.663,  59.186%
4, 0.652,  60.994%
5, 0.644,  62.022%
6, 0.634,  64.103%
7, 0.627,  64.998%
8, 0.617,  66.089%
9, 0.614,  66.242%
10, 0.609,  66.826%
11, 0.603,  67.970%
12, 0.597,  68.160%
13, 0.591,  68.968%
14, 0.586,  69.630%
15, 0.579,  70.083%
16, 0.571,  71.590%
17, 0.573,  70.477%
18, 0.569,  70.889%
19, 0.560,  71.630%
20, 0.557,  71.949%
21, 0.551,  72.444%
22, 0.544,  72.794%
23, 0.541,  73.226%
24, 0.539,  73.448%
25, 0.534,  73.709%
26, 0.526,  74.651%
27, 0.526,  74.331%
28, 0.520,  74.800%
29, 0.518,  74.855%
30, 0.512,  75.093%
31, 0.508,  75.834%
32, 0.505,  75.481%
33, 0.504,  75.853%
34, 0.499,  76.485%
35, 0.496,  76.451%
36, 0.493,  76.509%
37, 0.489,  76.990%
38, 0.484,  77.036%
39, 0.487,  76.776%
40, 0.483,  77.248%
41, 0.478,  77.602%
42, 0.477,  77.646%
43, 0.469,  78.113%
44, 0.464,  78.533%
45, 0.472,  77.794%
46, 0.468,  78.206%
47, 0.462,  78.794%
48, 0.458,  78.477%
49, 0.467,  78.281%
50, 0.452,  79.279%
51, 0.451,  79.253%
52, 0.450,  79.135%
53, 0.450,  79.309%
54, 0.444,  79.620%
55, 0.450,  79.129%
56, 0.440,  79.752%
57, 0.440,  79.816%
58, 0.434,  80.402%
59, 0.436,  80.107%
60, 0.439,  79.679%
61, 0.433,  80.214%
62, 0.433,  80.067%
63, 0.435,  79.857%
64, 0.438,  79.669%
65, 0.423,  80.446%
66, 0.428,  80.426%
67, 0.425,  80.715%
68, 0.424,  80.648%
69, 0.426,  80.531%
70, 0.427,  80.661%
71, 0.420,  81.026%
72, 0.422,  80.756%
73, 0.416,  81.137%
74, 0.411,  81.461%
75, 0.416,  81.069%
76, 0.415,  81.222%
77, 0.401,  82.034%
78, 0.416,  81.012%
79, 0.414,  81.180%
80, 0.414,  81.202%
81, 0.405,  81.731%
82, 0.405,  81.677%
83, 0.411,  81.364%
84, 0.410,  81.386%
85, 0.410,  81.374%
86, 0.401,  81.859%
87, 0.404,  81.711%
88, 0.405,  81.517%
89, 0.403,  81.749%
90, 0.399,  81.923%
91, 0.406,  81.491%
92, 0.399,  81.919%
93, 0.394,  82.198%
94, 0.394,  82.168%
95, 0.397,  82.277%
96, 0.401,  81.927%
97, 0.396,  82.317%
98, 0.399,  81.935%
99, 0.396,  82.226%
100, 0.404,  81.816%
101, 0.399,  81.994%
102, 0.393,  82.030%
103, 0.393,  82.287%
104, 0.404,  81.679%
105, 0.388,  82.588%
106, 0.394,  82.180%
107, 0.392,  82.527%
108, 0.388,  82.248%
109, 0.397,  82.085%
110, 0.391,  82.257%
111, 0.388,  82.331%
112, 0.391,  82.448%
113, 0.387,  82.590%
114, 0.388,  82.677%
115, 0.390,  82.606%
116, 0.381,  83.038%
117, 0.378,  83.141%
118, 0.401,  81.822%
119, 0.392,  82.414%
120, 0.389,  82.701%
121, 0.392,  82.287%
122, 0.390,  82.442%
123, 0.389,  82.519%
124, 0.382,  82.972%
125, 0.391,  82.424%
126, 0.391,  82.513%
127, 0.385,  82.602%
128, 0.389,  82.580%
129, 0.373,  83.519%
130, 0.383,  82.848%
131, 0.379,  83.048%
132, 0.373,  83.499%
133, 0.379,  83.087%
134, 0.385,  82.576%
135, 0.371,  83.505%
136, 0.378,  83.143%
137, 0.387,  82.699%
138, 0.386,  82.689%
139, 0.391,  82.329%
140, 0.377,  83.390%
141, 0.386,  82.705%
142, 0.377,  83.253%
143, 0.384,  82.620%
144, 0.380,  83.139%
145, 0.383,  82.659%
146, 0.379,  83.010%
147, 0.380,  82.943%
148, 0.382,  82.937%
149, 0.371,  83.523%
150, 0.380,  83.196%
151, 0.374,  83.448%
152, 0.371,  83.549%
153, 0.370,  83.479%
154, 0.379,  82.857%
155, 0.386,  82.626%
156, 0.381,  82.842%
157, 0.381,  83.040%
158, 0.377,  83.073%
159, 0.376,  83.212%
160, 0.360,  84.131%
161, 0.371,  83.448%
162, 0.376,  83.390%
163, 0.374,  83.238%
164, 0.371,  83.547%
165, 0.372,  83.317%
166, 0.371,  83.382%
167, 0.371,  83.432%
168, 0.376,  83.135%
169, 0.373,  83.307%
170, 0.372,  83.477%
171, 0.374,  83.442%
172, 0.366,  83.768%
173, 0.370,  83.562%
174, 0.373,  83.321%
175, 0.365,  83.707%
176, 0.378,  83.016%
177, 0.358,  84.240%
178, 0.365,  83.859%
179, 0.365,  83.780%
180, 0.371,  83.491%
181, 0.373,  83.497%
182, 0.373,  83.273%
183, 0.373,  83.240%
184, 0.356,  84.222%
185, 0.374,  83.329%
186, 0.366,  83.673%
187, 0.373,  83.481%
188, 0.360,  84.046%
189, 0.365,  83.572%
190, 0.374,  83.307%
191, 0.370,  83.448%
192, 0.368,  83.725%
193, 0.369,  83.535%
194, 0.368,  83.580%
195, 0.368,  83.507%
196, 0.363,  84.057%
197, 0.353,  84.430%
198, 0.365,  83.774%
199, 0.363,  83.889%
200, 0.364,  83.857%
201, 0.363,  84.008%
202, 0.377,  83.156%
203, 0.364,  84.101%
204, 0.375,  83.131%
205, 0.366,  83.681%
206, 0.359,  84.166%
207, 0.361,  84.042%
208, 0.367,  83.612%
209, 0.360,  83.970%
210, 0.361,  83.927%
211, 0.367,  83.527%
212, 0.369,  83.491%
213, 0.369,  83.610%
214, 0.359,  84.109%
215, 0.362,  83.933%
216, 0.372,  83.311%
217, 0.362,  83.941%
218, 0.378,  82.794%
219, 0.360,  84.097%
220, 0.373,  83.240%
221, 0.358,  84.287%
222, 0.359,  84.113%
223, 0.365,  83.745%
224, 0.372,  83.246%
225, 0.372,  83.451%
226, 0.357,  84.283%
227, 0.354,  84.362%
228, 0.359,  84.087%
229, 0.372,  83.325%
230, 0.367,  83.873%
231, 0.366,  83.794%
232, 0.366,  83.588%
233, 0.360,  84.158%
234, 0.364,  83.844%
235, 0.365,  83.723%
236, 0.373,  83.194%
237, 0.360,  84.133%
238, 0.353,  84.432%
239, 0.363,  83.960%
240, 0.359,  84.156%
241, 0.362,  84.089%
242, 0.361,  83.855%
243, 0.355,  84.343%
244, 0.355,  84.483%
245, 0.350,  84.644%
246, 0.365,  83.764%
247, 0.357,  84.277%
248, 0.364,  83.756%
249, 0.362,  83.949%
250, 0.364,  83.481%
251, 0.360,  84.257%
252, 0.363,  83.931%
253, 0.361,  83.984%
254, 0.364,  83.913%
255, 0.360,  84.057%
256, 0.348,  84.689%
257, 0.357,  84.075%
258, 0.349,  84.663%
259, 0.352,  84.398%
260, 0.356,  84.238%
261, 0.357,  84.255%
262, 0.364,  83.792%
263, 0.353,  84.398%
264, 0.353,  84.349%
265, 0.360,  84.188%
266, 0.355,  84.368%
267, 0.355,  84.562%
268, 0.346,  84.836%
269, 0.357,  84.182%
270, 0.358,  84.048%
271, 0.363,  83.717%
272, 0.358,  84.077%
273, 0.358,  84.032%
274, 0.362,  84.010%
275, 0.355,  84.289%
276, 0.365,  83.677%
277, 0.348,  84.661%
278, 0.359,  84.119%
279, 0.356,  84.253%
280, 0.357,  84.182%
281, 0.368,  83.634%
282, 0.351,  84.630%
283, 0.361,  84.095%
284, 0.359,  84.232%
285, 0.357,  84.238%
286, 0.359,  84.069%
287, 0.351,  84.554%
288, 0.353,  84.594%
289, 0.349,  84.610%
290, 0.359,  84.000%
291, 0.368,  83.420%
292, 0.361,  83.919%
293, 0.358,  83.952%
294, 0.353,  84.620%
295, 0.346,  84.709%
296, 0.359,  84.133%
297, 0.360,  83.865%
298, 0.359,  84.117%
299, 0.349,  84.475%
300, 0.355,  84.303%
301, 0.352,  84.416%
302, 0.359,  84.079%
303, 0.362,  83.826%
304, 0.356,  84.354%
305, 0.356,  84.386%
306, 0.357,  84.168%
307, 0.344,  84.992%
308, 0.358,  84.160%
309, 0.363,  83.808%
310, 0.356,  84.327%
311, 0.346,  84.768%
312, 0.344,  84.857%
313, 0.359,  84.133%
314, 0.358,  84.125%
315, 0.356,  84.279%
316, 0.358,  84.044%
317, 0.360,  84.018%
318, 0.353,  84.535%
319, 0.356,  84.196%
320, 0.355,  84.289%
321, 0.344,  84.838%
322, 0.350,  84.713%
323, 0.354,  84.224%
324, 0.355,  84.325%
325, 0.355,  84.145%
326, 0.347,  84.768%
327, 0.353,  84.202%
328, 0.353,  84.446%
329, 0.352,  84.523%
330, 0.349,  84.689%
331, 0.361,  83.907%
332, 0.353,  84.360%
333, 0.352,  84.622%
334, 0.343,  85.051%
335, 0.342,  85.210%
336, 0.354,  84.289%
337, 0.350,  84.752%
338, 0.352,  84.459%
339, 0.345,  84.798%
340, 0.350,  84.408%
341, 0.349,  84.699%
342, 0.345,  84.954%
343, 0.346,  84.683%
344, 0.347,  84.786%
345, 0.345,  84.907%
346, 0.339,  85.263%
347, 0.340,  84.974%
348, 0.349,  84.541%
349, 0.356,  84.158%
350, 0.350,  84.622%
351, 0.353,  84.329%
352, 0.345,  84.798%
353, 0.350,  84.655%
354, 0.348,  84.776%
355, 0.345,  84.818%
356, 0.349,  84.618%
357, 0.344,  84.798%
358, 0.347,  84.941%
359, 0.349,  84.661%
360, 0.350,  84.503%
361, 0.345,  84.741%
362, 0.339,  85.079%
363, 0.354,  84.228%
364, 0.352,  84.521%
365, 0.348,  84.473%
366, 0.356,  84.186%
367, 0.339,  85.032%
368, 0.344,  84.782%
369, 0.346,  84.618%
370, 0.355,  84.253%
371, 0.345,  84.931%
372, 0.350,  84.618%
373, 0.336,  85.046%
374, 0.348,  84.824%
375, 0.347,  84.590%
376, 0.356,  84.194%
377, 0.358,  84.147%
378, 0.347,  84.703%
379, 0.344,  84.826%
380, 0.345,  84.923%
381, 0.358,  84.099%
382, 0.346,  84.671%
383, 0.344,  85.022%
384, 0.348,  84.570%
385, 0.340,  85.012%
386, 0.354,  84.279%
387, 0.344,  84.830%
388, 0.356,  84.269%
389, 0.348,  84.608%
390, 0.341,  85.022%
391, 0.352,  84.400%
392, 0.343,  85.032%
393, 0.350,  84.483%
394, 0.344,  84.778%
395, 0.355,  84.222%
396, 0.343,  84.964%
397, 0.344,  84.818%
398, 0.343,  84.669%
399, 0.342,  84.828%
400, 0.348,  84.560%
401, 0.358,  83.838%
402, 0.345,  84.798%
403, 0.350,  84.483%
404, 0.346,  84.673%
405, 0.342,  85.030%
406, 0.342,  84.796%
407, 0.349,  84.798%
408, 0.340,  85.212%
409, 0.337,  85.220%
410, 0.360,  84.014%
411, 0.349,  84.701%
412, 0.346,  84.857%
413, 0.345,  84.802%
414, 0.348,  84.568%
415, 0.354,  84.208%
416, 0.347,  84.741%
417, 0.349,  84.461%
418, 0.360,  83.780%
419, 0.344,  84.804%
420, 0.347,  84.739%
421, 0.354,  84.198%
422, 0.352,  84.507%
423, 0.349,  84.651%
424, 0.357,  84.170%
425, 0.346,  84.826%
426, 0.354,  84.448%
427, 0.346,  84.655%
428, 0.339,  85.008%
429, 0.352,  84.333%
430, 0.350,  84.463%
431, 0.347,  84.725%
432, 0.347,  84.693%
433, 0.345,  84.717%
434, 0.339,  85.046%
435, 0.348,  84.594%
436, 0.337,  85.228%
437, 0.348,  84.554%
438, 0.348,  84.568%
439, 0.350,  84.665%
440, 0.343,  84.925%
441, 0.336,  85.251%
442, 0.355,  84.156%
443, 0.336,  85.287%
444, 0.347,  84.735%
445, 0.349,  84.525%
446, 0.346,  84.646%
447, 0.345,  84.632%
448, 0.349,  84.648%
449, 0.346,  84.863%
450, 0.346,  84.917%
451, 0.333,  85.519%
452, 0.346,  84.966%
453, 0.346,  84.606%
454, 0.352,  84.503%
455, 0.346,  84.741%
456, 0.332,  85.636%
457, 0.342,  85.095%
458, 0.344,  84.954%
459, 0.343,  84.972%
460, 0.348,  84.683%
461, 0.351,  84.556%
462, 0.335,  85.343%
463, 0.345,  84.806%
464, 0.336,  85.279%
465, 0.347,  84.594%
466, 0.342,  84.947%
467, 0.340,  84.893%
468, 0.346,  84.697%
469, 0.343,  84.818%
470, 0.342,  84.749%
471, 0.343,  84.945%
472, 0.338,  85.273%
473, 0.347,  84.810%
474, 0.344,  84.871%
475, 0.335,  85.263%
476, 0.344,  84.972%
