Epoch, Loss, Acc
0, 0.688,  53.004%
1, 0.675,  57.224%
2, 0.667,  58.620%
3, 0.659,  60.158%
4, 0.651,  61.356%
5, 0.642,  62.772%
6, 0.635,  63.604%
7, 0.628,  64.253%
8, 0.622,  65.408%
9, 0.616,  65.824%
10, 0.609,  66.622%
11, 0.604,  67.382%
12, 0.598,  67.784%
13, 0.592,  68.105%
14, 0.587,  68.687%
15, 0.579,  69.570%
16, 0.576,  69.768%
17, 0.575,  69.861%
18, 0.565,  71.067%
19, 0.558,  71.642%
20, 0.559,  71.608%
21, 0.550,  72.042%
22, 0.548,  72.176%
23, 0.542,  72.820%
24, 0.537,  73.248%
25, 0.535,  73.228%
26, 0.530,  73.657%
27, 0.528,  73.661%
28, 0.523,  74.301%
29, 0.517,  74.644%
30, 0.516,  74.511%
31, 0.508,  75.410%
32, 0.505,  75.594%
33, 0.505,  75.416%
34, 0.502,  75.749%
35, 0.497,  75.836%
36, 0.495,  76.352%
37, 0.496,  76.269%
38, 0.489,  76.867%
39, 0.487,  76.648%
40, 0.475,  77.707%
41, 0.482,  77.257%
42, 0.480,  77.224%
43, 0.468,  78.119%
44, 0.473,  77.814%
45, 0.471,  77.875%
46, 0.459,  78.669%
47, 0.462,  78.614%
48, 0.456,  78.897%
49, 0.462,  78.426%
50, 0.455,  78.820%
51, 0.450,  79.028%
52, 0.447,  79.465%
53, 0.452,  78.952%
54, 0.440,  79.816%
55, 0.445,  79.234%
56, 0.445,  79.380%
57, 0.439,  79.541%
58, 0.434,  80.125%
59, 0.434,  80.143%
60, 0.436,  80.141%
61, 0.435,  79.966%
62, 0.431,  80.208%
63, 0.430,  80.097%
64, 0.422,  80.754%
65, 0.428,  80.428%
66, 0.426,  80.493%
67, 0.415,  81.416%
68, 0.413,  81.408%
69, 0.421,  80.665%
70, 0.417,  80.879%
71, 0.416,  81.123%
72, 0.421,  80.648%
73, 0.412,  81.321%
74, 0.413,  81.202%
75, 0.411,  81.263%
76, 0.410,  81.283%
77, 0.406,  81.766%
78, 0.409,  81.624%
79, 0.409,  81.495%
80, 0.403,  81.911%
81, 0.400,  82.063%
82, 0.404,  81.828%
83, 0.405,  81.608%
84, 0.402,  81.871%
85, 0.408,  81.451%
86, 0.410,  81.442%
87, 0.403,  81.683%
88, 0.398,  82.097%
89, 0.403,  81.646%
90, 0.408,  81.297%
91, 0.400,  81.796%
92, 0.403,  81.541%
93, 0.405,  81.418%
94, 0.406,  81.503%
95, 0.393,  82.291%
96, 0.402,  81.642%
97, 0.403,  81.830%
98, 0.397,  82.016%
99, 0.396,  82.085%
100, 0.389,  82.533%
101, 0.398,  82.032%
102, 0.394,  82.267%
103, 0.396,  82.075%
104, 0.397,  81.964%
105, 0.402,  81.754%
106, 0.397,  81.818%
107, 0.399,  81.786%
108, 0.392,  82.487%
109, 0.388,  82.657%
110, 0.381,  82.929%
111, 0.394,  82.251%
112, 0.394,  82.137%
113, 0.401,  81.705%
114, 0.382,  82.796%
115, 0.384,  82.651%
116, 0.383,  82.818%
117, 0.383,  82.822%
118, 0.385,  82.568%
119, 0.377,  83.343%
120, 0.382,  82.689%
121, 0.392,  82.455%
122, 0.385,  82.549%
123, 0.385,  82.679%
124, 0.381,  82.840%
125, 0.386,  82.570%
126, 0.383,  82.719%
127, 0.379,  82.970%
128, 0.383,  82.659%
129, 0.386,  82.699%
130, 0.381,  82.891%
131, 0.385,  82.505%
132, 0.378,  83.184%
133, 0.375,  83.362%
134, 0.373,  83.448%
135, 0.371,  83.523%
136, 0.373,  83.364%
137, 0.380,  82.970%
138, 0.377,  83.287%
139, 0.378,  83.119%
140, 0.391,  82.390%
141, 0.388,  82.499%
142, 0.379,  83.184%
143, 0.380,  82.873%
144, 0.380,  82.988%
145, 0.372,  83.265%
146, 0.374,  83.059%
147, 0.374,  83.347%
148, 0.373,  83.372%
149, 0.389,  82.455%
150, 0.375,  83.131%
151, 0.376,  83.263%
152, 0.380,  83.053%
153, 0.382,  82.913%
154, 0.372,  83.487%
155, 0.381,  82.891%
156, 0.366,  83.725%
157, 0.376,  83.103%
158, 0.378,  83.099%
159, 0.374,  83.202%
160, 0.376,  83.006%
161, 0.382,  83.002%
162, 0.380,  82.972%
163, 0.385,  82.725%
164, 0.371,  83.511%
165, 0.374,  83.248%
166, 0.371,  83.461%
167, 0.384,  82.535%
168, 0.375,  83.343%
169, 0.365,  83.863%
170, 0.371,  83.426%
171, 0.368,  83.602%
172, 0.379,  82.982%
173, 0.366,  83.727%
174, 0.379,  82.913%
175, 0.363,  83.966%
176, 0.376,  83.127%
177, 0.370,  83.768%
178, 0.373,  83.339%
179, 0.374,  83.291%
180, 0.362,  84.046%
181, 0.380,  83.061%
182, 0.370,  83.626%
183, 0.357,  84.305%
184, 0.369,  83.400%
185, 0.370,  83.410%
186, 0.361,  83.885%
187, 0.366,  83.541%
188, 0.378,  83.154%
189, 0.360,  84.224%
190, 0.366,  83.596%
191, 0.370,  83.465%
192, 0.367,  83.618%
193, 0.373,  83.303%
194, 0.363,  84.051%
195, 0.364,  83.764%
196, 0.363,  83.925%
197, 0.359,  83.962%
198, 0.364,  83.816%
199, 0.368,  83.495%
200, 0.366,  83.642%
201, 0.370,  83.354%
202, 0.365,  83.838%
203, 0.370,  83.453%
204, 0.365,  83.901%
205, 0.371,  83.422%
206, 0.374,  83.156%
207, 0.353,  84.527%
208, 0.367,  83.622%
209, 0.369,  83.568%
210, 0.359,  84.129%
211, 0.371,  83.416%
212, 0.367,  83.634%
213, 0.376,  83.040%
214, 0.372,  83.212%
215, 0.372,  83.311%
216, 0.369,  83.642%
217, 0.368,  83.719%
218, 0.357,  84.188%
219, 0.371,  83.499%
220, 0.355,  84.152%
221, 0.358,  84.046%
222, 0.360,  83.869%
223, 0.369,  83.840%
224, 0.351,  84.549%
225, 0.367,  83.681%
226, 0.361,  84.044%
227, 0.361,  84.121%
228, 0.362,  83.915%
229, 0.362,  83.976%
230, 0.356,  84.319%
231, 0.358,  84.036%
232, 0.361,  83.966%
233, 0.369,  83.503%
234, 0.358,  84.154%
235, 0.354,  84.511%
236, 0.361,  83.980%
237, 0.352,  84.588%
238, 0.360,  84.188%
239, 0.364,  83.747%
240, 0.375,  83.156%
241, 0.363,  83.798%
242, 0.356,  84.337%
243, 0.370,  83.461%
244, 0.368,  83.463%
245, 0.354,  84.321%
246, 0.357,  84.065%
247, 0.366,  83.636%
248, 0.361,  84.008%
249, 0.357,  84.063%
250, 0.352,  84.606%
251, 0.359,  84.010%
252, 0.365,  83.824%
253, 0.359,  84.097%
254, 0.354,  84.406%
255, 0.361,  84.057%
256, 0.351,  84.461%
257, 0.356,  84.396%
258, 0.369,  83.438%
259, 0.368,  83.776%
260, 0.363,  83.800%
261, 0.350,  84.661%
262, 0.361,  83.832%
263, 0.355,  84.251%
264, 0.354,  84.190%
265, 0.350,  84.333%
266, 0.357,  84.240%
267, 0.367,  83.507%
268, 0.353,  84.446%
269, 0.361,  84.024%
270, 0.361,  83.917%
271, 0.357,  84.224%
272, 0.359,  84.065%
273, 0.353,  84.291%
274, 0.350,  84.436%
275, 0.347,  84.770%
276, 0.355,  84.208%
277, 0.357,  84.376%
278, 0.362,  83.903%
279, 0.357,  84.214%
280, 0.351,  84.634%
281, 0.358,  84.194%
282, 0.361,  83.875%
283, 0.363,  83.846%
284, 0.359,  84.160%
285, 0.362,  84.016%
286, 0.349,  84.554%
287, 0.348,  84.653%
288, 0.364,  83.774%
289, 0.360,  84.032%
290, 0.354,  84.428%
291, 0.358,  83.984%
292, 0.365,  83.628%
293, 0.347,  84.752%
294, 0.353,  84.386%
295, 0.357,  84.006%
296, 0.358,  83.952%
297, 0.356,  84.347%
298, 0.358,  83.962%
299, 0.356,  84.077%
300, 0.354,  84.487%
301, 0.354,  84.218%
302, 0.362,  83.877%
303, 0.353,  84.285%
304, 0.356,  84.234%
305, 0.355,  84.400%
306, 0.361,  83.956%
307, 0.353,  84.436%
308, 0.350,  84.511%
309, 0.355,  84.301%
310, 0.350,  84.493%
311, 0.348,  84.800%
312, 0.350,  84.475%
313, 0.355,  84.253%
314, 0.356,  84.301%
315, 0.347,  84.697%
316, 0.349,  84.673%
317, 0.350,  84.495%
318, 0.357,  84.259%
319, 0.344,  84.857%
320, 0.347,  84.709%
321, 0.355,  84.396%
322, 0.349,  84.428%
323, 0.347,  84.788%
324, 0.355,  84.341%
325, 0.347,  84.539%
326, 0.354,  84.289%
327, 0.363,  84.018%
328, 0.349,  84.552%
329, 0.347,  84.642%
330, 0.344,  84.756%
331, 0.346,  84.768%
332, 0.352,  84.410%
333, 0.344,  84.844%
334, 0.355,  84.341%
335, 0.366,  83.517%
336, 0.352,  84.659%
337, 0.346,  84.725%
338, 0.355,  84.232%
339, 0.358,  84.137%
340, 0.357,  84.145%
341, 0.347,  84.596%
342, 0.348,  84.598%
343, 0.357,  84.147%
344, 0.357,  84.170%
345, 0.345,  84.883%
346, 0.352,  84.592%
347, 0.354,  84.234%
348, 0.352,  84.471%
349, 0.349,  84.622%
350, 0.339,  85.093%
351, 0.353,  84.426%
352, 0.345,  84.651%
353, 0.357,  84.083%
354, 0.344,  84.970%
355, 0.349,  84.614%
356, 0.354,  84.141%
357, 0.352,  84.309%
358, 0.345,  84.762%
359, 0.341,  85.168%
360, 0.347,  84.737%
361, 0.339,  85.089%
362, 0.348,  84.582%
363, 0.347,  84.752%
364, 0.340,  84.998%
365, 0.353,  84.327%
366, 0.346,  84.723%
367, 0.349,  84.305%
368, 0.343,  84.927%
369, 0.348,  84.572%
370, 0.352,  84.442%
371, 0.352,  84.261%
372, 0.345,  84.897%
373, 0.341,  84.966%
374, 0.350,  84.424%
375, 0.344,  85.004%
376, 0.350,  84.469%
377, 0.346,  84.527%
378, 0.339,  85.287%
379, 0.340,  85.091%
380, 0.351,  84.410%
381, 0.342,  84.958%
382, 0.340,  85.036%
383, 0.354,  84.384%
384, 0.341,  85.115%
385, 0.342,  84.810%
386, 0.341,  85.020%
387, 0.344,  84.705%
388, 0.348,  84.747%
389, 0.349,  84.519%
390, 0.351,  84.438%
391, 0.335,  85.263%
392, 0.340,  85.077%
393, 0.355,  84.289%
394, 0.349,  84.594%
395, 0.350,  84.582%
396, 0.337,  85.364%
397, 0.353,  84.396%
398, 0.348,  84.618%
399, 0.357,  84.075%
400, 0.343,  84.885%
401, 0.350,  84.473%
402, 0.352,  84.489%
403, 0.345,  84.754%
404, 0.349,  84.493%
405, 0.342,  84.988%
406, 0.354,  84.261%
407, 0.352,  84.418%
408, 0.351,  84.378%
409, 0.351,  84.337%
410, 0.343,  84.869%
411, 0.348,  84.598%
412, 0.348,  84.731%
413, 0.350,  84.529%
414, 0.347,  84.578%
415, 0.333,  85.451%
416, 0.345,  84.992%
417, 0.343,  84.954%
418, 0.354,  84.253%
419, 0.345,  84.925%
420, 0.348,  84.644%
421, 0.346,  84.648%
422, 0.351,  84.337%
423, 0.342,  84.747%
424, 0.337,  85.236%
425, 0.341,  85.259%
426, 0.334,  85.291%
427, 0.327,  85.721%
428, 0.351,  84.624%
429, 0.342,  84.760%
430, 0.348,  84.554%
431, 0.338,  85.188%
432, 0.346,  84.667%
433, 0.353,  84.337%
434, 0.359,  83.937%
435, 0.346,  84.994%
436, 0.351,  84.327%
437, 0.338,  85.073%
438, 0.354,  84.293%
439, 0.348,  84.568%
440, 0.349,  84.527%
441, 0.345,  84.739%
442, 0.347,  84.632%
443, 0.339,  85.073%
444, 0.339,  85.081%
445, 0.344,  84.883%
446, 0.341,  84.984%
447, 0.353,  84.273%
448, 0.342,  84.949%
449, 0.351,  84.400%
450, 0.343,  84.913%
451, 0.348,  84.642%
452, 0.345,  84.901%
453, 0.333,  85.481%
454, 0.346,  84.739%
455, 0.346,  84.634%
456, 0.347,  84.552%
457, 0.351,  84.420%
458, 0.348,  84.505%
459, 0.358,  84.083%
460, 0.340,  85.131%
461, 0.342,  84.897%
462, 0.343,  84.871%
463, 0.342,  85.067%
464, 0.343,  84.796%
465, 0.343,  84.842%
466, 0.342,  84.921%
467, 0.337,  85.222%
468, 0.351,  84.333%
469, 0.349,  84.440%
470, 0.340,  85.028%
471, 0.337,  85.275%
472, 0.332,  85.566%
473, 0.337,  85.125%
474, 0.333,  85.547%
475, 0.339,  85.036%
476, 0.347,  84.723%
477, 0.344,  84.848%
478, 0.339,  85.119%
479, 0.338,  85.236%
480, 0.344,  84.846%
481, 0.346,  84.560%
482, 0.340,  85.022%
483, 0.345,  84.713%
484, 0.336,  85.210%
485, 0.342,  84.770%
486, 0.351,  84.473%
487, 0.349,  84.582%
488, 0.351,  84.503%
489, 0.354,  84.366%
490, 0.333,  85.459%
491, 0.344,  84.653%
492, 0.343,  84.796%
493, 0.339,  85.032%
494, 0.339,  84.976%
495, 0.342,  84.990%
496, 0.358,  84.186%
497, 0.339,  85.044%
498, 0.337,  85.149%
499, 0.356,  84.152%
500, 0.341,  84.873%
501, 0.336,  85.303%
502, 0.337,  85.362%
503, 0.344,  84.960%
504, 0.338,  85.196%
505, 0.338,  85.180%
506, 0.336,  85.253%
507, 0.340,  84.897%
508, 0.351,  84.451%
509, 0.337,  85.101%
510, 0.345,  84.743%
511, 0.345,  84.745%
512, 0.350,  84.525%
513, 0.352,  84.420%
514, 0.341,  85.048%
515, 0.338,  85.154%
516, 0.342,  84.996%
517, 0.342,  85.230%
518, 0.338,  85.234%
519, 0.339,  85.271%
520, 0.347,  84.598%
521, 0.341,  84.931%
522, 0.338,  85.174%
523, 0.342,  84.871%
524, 0.339,  85.075%
525, 0.340,  85.184%
526, 0.361,  83.863%
527, 0.343,  84.848%
528, 0.336,  85.271%
529, 0.336,  85.228%
530, 0.334,  85.289%
531, 0.338,  85.212%
532, 0.335,  85.432%
533, 0.337,  85.158%
534, 0.347,  84.535%
535, 0.335,  85.141%
536, 0.343,  84.792%
537, 0.340,  84.966%
538, 0.339,  85.107%
539, 0.332,  85.422%
540, 0.341,  85.036%
541, 0.353,  84.343%
542, 0.337,  85.251%
543, 0.339,  85.091%
544, 0.348,  84.628%
545, 0.343,  85.065%
546, 0.336,  85.152%
547, 0.339,  85.186%
548, 0.351,  84.347%
549, 0.341,  84.980%
550, 0.349,  84.788%
551, 0.332,  85.463%
552, 0.337,  84.913%
553, 0.345,  84.723%
554, 0.346,  84.933%
555, 0.334,  85.525%
556, 0.334,  85.440%
557, 0.343,  84.994%
558, 0.335,  85.295%
559, 0.345,  84.814%
560, 0.332,  85.317%
561, 0.336,  85.228%
562, 0.340,  84.897%
563, 0.336,  85.141%
564, 0.348,  84.491%
565, 0.339,  84.954%
566, 0.341,  85.149%
567, 0.342,  84.855%
568, 0.338,  85.147%
569, 0.344,  84.881%
570, 0.339,  84.978%
571, 0.335,  85.289%
572, 0.344,  84.778%
573, 0.337,  85.234%
574, 0.359,  83.988%
575, 0.339,  85.002%
576, 0.337,  85.356%
577, 0.340,  84.996%
578, 0.333,  85.461%
579, 0.340,  85.168%
580, 0.350,  84.521%
581, 0.333,  85.489%
582, 0.340,  84.889%
583, 0.347,  84.511%
584, 0.337,  85.147%
585, 0.336,  85.418%
586, 0.341,  84.842%
587, 0.341,  85.044%
588, 0.340,  85.164%
589, 0.335,  85.285%
590, 0.336,  85.147%
591, 0.331,  85.426%
592, 0.331,  85.586%
593, 0.332,  85.444%
594, 0.343,  84.820%
595, 0.344,  84.729%
596, 0.344,  84.840%
597, 0.331,  85.509%
598, 0.336,  85.289%
599, 0.343,  84.899%
600, 0.339,  84.958%
601, 0.344,  84.685%
602, 0.343,  84.784%
603, 0.331,  85.481%
604, 0.344,  84.925%
605, 0.339,  85.196%
606, 0.342,  84.913%
607, 0.343,  84.923%
608, 0.335,  85.372%
609, 0.333,  85.457%
610, 0.344,  84.774%
611, 0.331,  85.671%
612, 0.341,  85.067%
613, 0.346,  84.681%
614, 0.338,  85.244%
615, 0.337,  85.218%
616, 0.332,  85.337%
617, 0.353,  84.281%
618, 0.336,  85.109%
619, 0.333,  85.325%
620, 0.336,  85.198%
621, 0.331,  85.414%
622, 0.338,  85.131%
623, 0.341,  84.901%
624, 0.337,  85.234%
625, 0.345,  84.873%
626, 0.346,  84.705%
627, 0.335,  85.295%
628, 0.343,  84.883%
629, 0.328,  85.784%
630, 0.335,  85.394%
631, 0.331,  85.481%
632, 0.340,  84.911%
633, 0.338,  85.127%
634, 0.337,  85.194%
635, 0.336,  85.218%
636, 0.339,  85.091%
637, 0.338,  85.145%
638, 0.347,  84.543%
639, 0.324,  85.921%
640, 0.332,  85.448%
641, 0.332,  85.354%
642, 0.347,  84.655%
643, 0.344,  84.873%
644, 0.331,  85.475%
645, 0.337,  85.208%
646, 0.332,  85.598%
647, 0.336,  85.398%
648, 0.338,  85.075%
649, 0.339,  85.133%
650, 0.343,  84.725%
651, 0.329,  85.978%
652, 0.338,  85.182%
653, 0.349,  84.434%
654, 0.343,  84.853%
655, 0.342,  84.990%
656, 0.333,  85.495%
657, 0.342,  84.937%
658, 0.344,  84.784%
659, 0.342,  84.846%
660, 0.333,  85.347%
661, 0.347,  84.465%
662, 0.333,  85.442%
663, 0.339,  85.055%
664, 0.333,  85.131%
665, 0.333,  85.545%
666, 0.339,  85.210%
667, 0.327,  85.723%
668, 0.333,  85.317%
669, 0.337,  85.198%
670, 0.334,  85.305%
671, 0.330,  85.531%
672, 0.341,  85.006%
673, 0.334,  85.370%
674, 0.344,  84.893%
675, 0.336,  85.469%
676, 0.332,  85.428%
677, 0.333,  85.552%
678, 0.339,  85.065%
679, 0.339,  85.069%
680, 0.352,  84.309%
681, 0.341,  84.982%
682, 0.334,  85.406%
683, 0.332,  85.489%
684, 0.339,  85.063%
685, 0.343,  84.828%
686, 0.333,  85.604%
687, 0.332,  85.568%
688, 0.335,  85.303%
689, 0.335,  85.283%
690, 0.334,  85.303%
691, 0.347,  84.715%
692, 0.335,  85.083%
693, 0.328,  85.709%
694, 0.329,  85.739%
695, 0.331,  85.475%
696, 0.339,  85.057%
697, 0.333,  85.325%
698, 0.323,  85.851%
699, 0.333,  85.412%
700, 0.339,  85.012%
701, 0.342,  84.974%
702, 0.334,  85.564%
703, 0.335,  85.246%
704, 0.335,  85.248%
705, 0.330,  85.634%
706, 0.335,  85.406%
707, 0.330,  85.552%
708, 0.329,  85.475%
709, 0.337,  85.469%
710, 0.336,  85.154%
711, 0.337,  85.034%
712, 0.329,  85.574%
713, 0.331,  85.624%
714, 0.337,  85.051%
715, 0.336,  85.204%
716, 0.333,  85.285%
717, 0.339,  84.933%
718, 0.324,  85.800%
719, 0.335,  85.410%
720, 0.338,  84.994%
721, 0.339,  84.883%
722, 0.336,  85.152%
723, 0.337,  85.154%
724, 0.331,  85.547%
725, 0.327,  85.630%
726, 0.331,  85.444%
727, 0.319,  86.257%
728, 0.337,  85.059%
729, 0.338,  84.976%
730, 0.333,  85.420%
731, 0.337,  85.061%
732, 0.333,  85.549%
733, 0.330,  85.588%
734, 0.333,  85.323%
735, 0.341,  85.109%
736, 0.328,  85.576%
737, 0.339,  85.014%
738, 0.335,  85.178%
739, 0.336,  85.368%
740, 0.336,  85.176%
741, 0.346,  84.671%
742, 0.335,  85.285%
743, 0.334,  85.255%
744, 0.337,  85.202%
745, 0.338,  85.216%
746, 0.334,  85.410%
747, 0.331,  85.469%
748, 0.328,  85.915%
749, 0.335,  85.275%
750, 0.346,  84.628%
751, 0.327,  85.721%
752, 0.327,  85.723%
753, 0.331,  85.483%
754, 0.337,  85.200%
755, 0.339,  85.077%
756, 0.334,  85.291%
757, 0.345,  84.709%
758, 0.328,  85.691%
759, 0.334,  85.345%
760, 0.336,  85.307%
761, 0.334,  85.444%
762, 0.337,  85.362%
763, 0.340,  85.002%
764, 0.342,  84.798%
765, 0.344,  84.655%
