Epoch, Loss, Acc
0, 0.687,  53.289%
1, 0.676,  57.020%
2, 0.665,  59.238%
3, 0.657,  60.806%
4, 0.647,  62.600%
5, 0.642,  62.867%
6, 0.633,  63.887%
7, 0.626,  64.760%
8, 0.620,  65.527%
9, 0.612,  66.495%
10, 0.606,  66.939%
11, 0.604,  67.008%
12, 0.596,  68.147%
13, 0.588,  68.673%
14, 0.587,  68.707%
15, 0.579,  69.533%
16, 0.577,  69.655%
17, 0.571,  70.044%
18, 0.564,  70.727%
19, 0.560,  71.168%
20, 0.554,  71.505%
21, 0.550,  71.958%
22, 0.548,  72.275%
23, 0.541,  72.867%
24, 0.537,  73.069%
25, 0.535,  72.943%
26, 0.529,  73.754%
27, 0.524,  74.032%
28, 0.522,  74.285%
29, 0.520,  74.582%
30, 0.516,  74.653%
31, 0.510,  75.081%
32, 0.509,  75.263%
33, 0.504,  75.481%
34, 0.499,  76.024%
35, 0.496,  76.089%
36, 0.492,  76.331%
37, 0.491,  76.226%
38, 0.486,  76.806%
39, 0.484,  76.976%
40, 0.482,  77.000%
41, 0.481,  77.166%
42, 0.475,  77.568%
43, 0.468,  78.259%
44, 0.466,  78.174%
45, 0.466,  78.333%
46, 0.470,  77.558%
47, 0.463,  78.495%
48, 0.456,  78.749%
49, 0.458,  78.687%
50, 0.455,  78.834%
51, 0.452,  78.986%
52, 0.454,  78.903%
53, 0.453,  78.608%
54, 0.443,  79.721%
55, 0.446,  79.463%
56, 0.439,  79.794%
57, 0.439,  80.016%
58, 0.437,  79.836%
59, 0.441,  79.606%
60, 0.433,  80.259%
61, 0.436,  79.685%
62, 0.435,  79.721%
63, 0.430,  80.333%
64, 0.422,  80.804%
65, 0.425,  80.477%
66, 0.426,  80.325%
67, 0.427,  80.333%
68, 0.426,  80.339%
69, 0.422,  80.929%
70, 0.425,  80.463%
71, 0.428,  80.192%
72, 0.415,  81.147%
73, 0.428,  80.224%
74, 0.423,  80.455%
75, 0.419,  80.859%
76, 0.411,  81.446%
77, 0.414,  81.226%
78, 0.405,  81.917%
79, 0.411,  81.507%
80, 0.414,  80.877%
81, 0.413,  81.145%
82, 0.413,  81.162%
83, 0.407,  81.477%
84, 0.408,  81.436%
85, 0.405,  81.525%
86, 0.397,  81.889%
87, 0.401,  81.865%
88, 0.414,  81.028%
89, 0.413,  81.178%
90, 0.416,  80.598%
91, 0.406,  81.616%
92, 0.397,  82.071%
93, 0.412,  81.152%
94, 0.398,  82.135%
95, 0.404,  81.461%
96, 0.392,  82.384%
97, 0.392,  82.448%
98, 0.399,  81.927%
99, 0.400,  82.202%
100, 0.404,  81.511%
101, 0.400,  82.002%
102, 0.387,  82.584%
103, 0.395,  82.283%
104, 0.392,  82.374%
105, 0.395,  82.279%
106, 0.390,  82.372%
107, 0.402,  81.889%
108, 0.394,  82.238%
109, 0.387,  82.596%
110, 0.393,  82.360%
111, 0.388,  82.547%
112, 0.395,  82.317%
113, 0.392,  82.339%
114, 0.397,  82.085%
115, 0.374,  83.366%
116, 0.379,  83.101%
117, 0.383,  82.966%
118, 0.387,  82.499%
119, 0.378,  83.038%
120, 0.389,  82.392%
121, 0.386,  82.541%
122, 0.394,  82.226%
123, 0.385,  82.735%
124, 0.385,  82.503%
125, 0.386,  82.602%
126, 0.385,  82.618%
127, 0.381,  82.937%
