Epoch, Loss, Acc
0, 0.692,  53.737%
1, 0.673,  56.863%
2, 0.656,  60.602%
3, 0.642,  63.226%
4, 0.634,  64.236%
5, 0.625,  65.368%
6, 0.618,  66.620%
7, 0.610,  67.321%
8, 0.604,  67.945%
9, 0.596,  68.277%
10, 0.590,  68.822%
11, 0.585,  69.455%
12, 0.581,  69.600%
13, 0.573,  70.602%
14, 0.568,  70.994%
15, 0.559,  71.788%
16, 0.558,  72.075%
17, 0.551,  72.396%
18, 0.548,  72.877%
19, 0.541,  73.384%
20, 0.537,  73.467%
21, 0.536,  73.624%
22, 0.531,  73.808%
23, 0.523,  75.152%
24, 0.523,  74.422%
25, 0.519,  74.644%
26, 0.514,  75.273%
27, 0.509,  75.677%
28, 0.508,  75.329%
29, 0.501,  76.038%
30, 0.503,  75.745%
31, 0.500,  76.079%
32, 0.496,  76.489%
33, 0.491,  76.887%
34, 0.485,  76.970%
35, 0.489,  76.590%
36, 0.486,  76.988%
37, 0.482,  77.305%
38, 0.471,  77.943%
39, 0.469,  78.253%
40, 0.472,  77.859%
41, 0.469,  78.115%
42, 0.468,  77.935%
43, 0.462,  78.705%
44, 0.456,  78.824%
45, 0.458,  78.768%
46, 0.459,  78.644%
47, 0.456,  78.883%
48, 0.456,  78.671%
49, 0.455,  78.939%
50, 0.452,  79.398%
51, 0.446,  79.531%
52, 0.449,  79.087%
53, 0.441,  79.857%
54, 0.438,  79.754%
55, 0.436,  80.198%
56, 0.442,  79.558%
57, 0.442,  79.517%
58, 0.441,  79.687%
59, 0.428,  80.616%
60, 0.435,  80.028%
61, 0.436,  80.014%
62, 0.432,  80.192%
63, 0.424,  80.937%
64, 0.426,  80.576%
65, 0.418,  81.028%
66, 0.423,  80.640%
67, 0.422,  80.531%
68, 0.423,  80.606%
69, 0.422,  80.630%
70, 0.422,  80.772%
71, 0.414,  81.234%
72, 0.415,  80.988%
73, 0.418,  81.000%
74, 0.414,  81.331%
75, 0.404,  81.754%
76, 0.408,  81.451%
77, 0.403,  81.935%
78, 0.412,  81.214%
79, 0.411,  81.180%
80, 0.411,  81.267%
81, 0.405,  81.747%
82, 0.409,  81.725%
83, 0.408,  81.525%
84, 0.397,  82.477%
85, 0.405,  81.521%
86, 0.395,  82.180%
87, 0.410,  81.186%
88, 0.409,  81.531%
89, 0.410,  81.301%
90, 0.400,  81.891%
91, 0.398,  81.996%
92, 0.395,  82.143%
93, 0.388,  82.703%
94, 0.399,  82.018%
95, 0.389,  82.731%
96, 0.396,  82.121%
97, 0.401,  81.832%
98, 0.400,  82.036%
99, 0.394,  82.285%
100, 0.391,  82.372%
101, 0.401,  81.941%
102, 0.396,  82.168%
103, 0.390,  82.503%
104, 0.390,  82.420%
105, 0.385,  82.836%
106, 0.395,  82.145%
107, 0.400,  81.887%
108, 0.395,  82.129%
109, 0.391,  82.368%
110, 0.385,  82.618%
111, 0.384,  82.657%
112, 0.381,  82.828%
113, 0.386,  82.560%
114, 0.380,  83.065%
115, 0.389,  82.556%
116, 0.387,  82.620%
117, 0.391,  82.416%
118, 0.391,  82.535%
119, 0.384,  82.883%
120, 0.394,  82.028%
121, 0.385,  82.905%
122, 0.388,  82.354%
123, 0.384,  82.859%
124, 0.390,  82.394%
125, 0.386,  82.826%
126, 0.383,  82.790%
127, 0.387,  82.707%
128, 0.376,  83.329%
129, 0.395,  82.220%
130, 0.387,  82.695%
131, 0.380,  83.000%
132, 0.391,  82.440%
133, 0.375,  83.297%
134, 0.379,  83.069%
135, 0.376,  83.154%
136, 0.378,  83.117%
137, 0.378,  83.085%
138, 0.382,  82.848%
139, 0.372,  83.356%
140, 0.375,  83.259%
141, 0.377,  83.206%
142, 0.374,  83.402%
143, 0.386,  82.475%
144, 0.368,  83.642%
145, 0.374,  83.135%
146, 0.373,  83.236%
147, 0.372,  83.491%
148, 0.376,  83.244%
149, 0.371,  83.588%
150, 0.376,  83.228%
151, 0.374,  83.400%
152, 0.366,  83.861%
153, 0.381,  83.020%
154, 0.373,  83.115%
155, 0.367,  83.842%
156, 0.383,  82.721%
157, 0.378,  83.046%
158, 0.365,  83.766%
159, 0.371,  83.382%
160, 0.373,  83.374%
161, 0.377,  83.251%
162, 0.372,  83.352%
163, 0.362,  83.970%
164, 0.380,  83.055%
165, 0.375,  83.143%
166, 0.373,  83.384%
167, 0.376,  83.127%
168, 0.376,  83.368%
169, 0.370,  83.432%
170, 0.374,  83.440%
171, 0.372,  83.610%
172, 0.371,  83.459%
173, 0.361,  84.166%
174, 0.360,  84.026%
175, 0.362,  83.867%
176, 0.362,  84.184%
177, 0.363,  83.943%
178, 0.375,  83.232%
179, 0.380,  82.877%
180, 0.372,  83.307%
181, 0.364,  83.966%
182, 0.363,  83.913%
183, 0.365,  83.806%
184, 0.371,  83.624%
185, 0.377,  83.135%
