Epoch, Loss, Acc
0, 0.692,  52.776%
1, 0.676,  56.392%
2, 0.664,  59.513%
3, 0.660,  60.368%
4, 0.653,  61.945%
5, 0.647,  62.986%
6, 0.638,  64.394%
7, 0.633,  64.772%
8, 0.628,  65.281%
9, 0.621,  65.851%
10, 0.614,  66.931%
11, 0.611,  67.194%
12, 0.603,  67.865%
13, 0.599,  68.220%
14, 0.594,  68.436%
15, 0.590,  68.780%
16, 0.587,  69.259%
17, 0.580,  69.816%
18, 0.576,  70.097%
19, 0.573,  70.438%
20, 0.566,  71.071%
21, 0.561,  71.887%
22, 0.560,  71.228%
23, 0.553,  72.204%
24, 0.550,  72.244%
25, 0.545,  72.598%
26, 0.541,  73.010%
27, 0.537,  73.202%
28, 0.537,  73.125%
29, 0.531,  73.754%
30, 0.525,  74.055%
31, 0.522,  74.234%
32, 0.518,  74.582%
33, 0.512,  75.257%
34, 0.513,  75.026%
35, 0.507,  75.646%
36, 0.503,  76.099%
37, 0.503,  75.752%
38, 0.500,  75.911%
39, 0.496,  76.176%
40, 0.494,  76.380%
41, 0.493,  76.400%
42, 0.486,  76.984%
43, 0.484,  77.067%
44, 0.481,  77.065%
45, 0.480,  77.341%
46, 0.471,  77.848%
47, 0.467,  78.388%
48, 0.473,  77.812%
49, 0.461,  78.594%
50, 0.468,  77.909%
51, 0.460,  78.602%
52, 0.455,  78.960%
53, 0.455,  79.218%
54, 0.458,  78.713%
55, 0.451,  79.188%
56, 0.452,  79.099%
57, 0.444,  79.531%
58, 0.443,  79.497%
59, 0.445,  79.511%
60, 0.444,  79.440%
61, 0.442,  79.531%
62, 0.436,  80.075%
63, 0.438,  79.931%
64, 0.444,  79.212%
65, 0.427,  80.400%
66, 0.434,  80.129%
67, 0.424,  80.836%
68, 0.429,  80.317%
69, 0.424,  80.636%
70, 0.428,  80.446%
71, 0.424,  80.824%
72, 0.425,  80.515%
73, 0.428,  80.356%
74, 0.433,  79.986%
75, 0.422,  80.745%
76, 0.416,  81.079%
77, 0.414,  81.416%
78, 0.412,  81.343%
79, 0.411,  81.261%
80, 0.409,  81.493%
81, 0.412,  81.400%
82, 0.407,  81.741%
83, 0.416,  80.913%
84, 0.407,  81.523%
85, 0.407,  81.796%
86, 0.401,  81.939%
87, 0.406,  81.665%
88, 0.398,  82.216%
89, 0.408,  81.598%
90, 0.404,  81.810%
91, 0.399,  81.970%
92, 0.398,  82.051%
93, 0.408,  81.329%
94, 0.396,  82.273%
95, 0.394,  82.364%
96, 0.397,  82.077%
97, 0.394,  82.214%
98, 0.401,  81.988%
99, 0.399,  81.667%
100, 0.393,  82.386%
101, 0.399,  82.133%
102, 0.398,  81.931%
103, 0.388,  82.782%
104, 0.393,  82.426%
105, 0.389,  82.455%
106, 0.393,  82.323%
107, 0.396,  82.006%
108, 0.393,  82.255%
109, 0.388,  82.691%
110, 0.391,  82.281%
111, 0.392,  82.370%
112, 0.390,  82.598%
113, 0.386,  82.657%
114, 0.396,  81.990%
115, 0.391,  82.240%
116, 0.385,  82.903%
117, 0.388,  82.622%
118, 0.390,  82.543%
119, 0.391,  82.596%
120, 0.383,  82.978%
121, 0.391,  82.362%
122, 0.392,  82.434%
123, 0.386,  82.824%
124, 0.390,  82.485%
125, 0.387,  82.865%
126, 0.377,  83.228%
127, 0.387,  82.562%
128, 0.388,  82.733%
129, 0.394,  82.327%
130, 0.387,  82.568%
131, 0.377,  83.133%
132, 0.376,  83.212%
133, 0.380,  83.105%
134, 0.376,  83.204%
135, 0.373,  83.463%
136, 0.381,  83.079%
137, 0.365,  83.812%
138, 0.381,  82.917%
139, 0.370,  83.489%
140, 0.378,  83.228%
141, 0.377,  83.089%
142, 0.379,  83.198%
143, 0.376,  83.224%
144, 0.376,  83.073%
145, 0.366,  83.675%
146, 0.381,  82.806%
147, 0.374,  83.337%
148, 0.382,  82.834%
149, 0.375,  83.337%
150, 0.370,  83.451%
151, 0.377,  83.281%
152, 0.380,  82.972%
153, 0.365,  83.673%
154, 0.385,  82.743%
155, 0.374,  83.226%
156, 0.382,  82.901%
157, 0.371,  83.665%
158, 0.382,  82.784%
159, 0.377,  83.113%
160, 0.377,  83.125%
161, 0.379,  82.842%
162, 0.378,  83.099%
163, 0.378,  83.002%
164, 0.363,  84.057%
165, 0.373,  83.471%
166, 0.374,  83.364%
167, 0.369,  83.713%
168, 0.372,  83.448%
169, 0.384,  82.705%
170, 0.363,  84.020%
171, 0.366,  83.784%
172, 0.375,  83.145%
173, 0.364,  83.810%
174, 0.371,  83.547%
175, 0.368,  83.376%
176, 0.376,  83.307%
177, 0.376,  83.143%
178, 0.361,  84.042%
179, 0.370,  83.434%
180, 0.367,  83.608%
181, 0.361,  84.024%
182, 0.371,  83.493%
183, 0.369,  83.529%
184, 0.368,  83.707%
185, 0.364,  83.891%
186, 0.368,  83.549%
187, 0.369,  83.636%
188, 0.366,  83.780%
189, 0.364,  84.010%
190, 0.367,  83.695%
191, 0.373,  83.244%
192, 0.363,  83.945%
193, 0.370,  83.487%
194, 0.369,  83.414%
195, 0.369,  83.636%
196, 0.370,  83.432%
197, 0.375,  83.323%
198, 0.375,  83.204%
199, 0.363,  83.818%
200, 0.372,  83.374%
201, 0.365,  83.525%
202, 0.369,  83.463%
203, 0.361,  83.943%
204, 0.373,  83.374%
205, 0.355,  84.315%
206, 0.357,  84.216%
207, 0.381,  82.808%
208, 0.370,  83.507%
209, 0.363,  83.879%
210, 0.359,  84.057%
211, 0.369,  83.644%
212, 0.368,  83.648%
213, 0.360,  83.947%
214, 0.359,  84.105%
215, 0.373,  83.364%
216, 0.357,  84.131%
217, 0.362,  84.042%
218, 0.360,  84.200%
219, 0.354,  84.402%
220, 0.367,  83.659%
221, 0.372,  83.386%
222, 0.360,  84.073%
223, 0.365,  83.691%
224, 0.369,  83.562%
225, 0.370,  83.683%
226, 0.366,  83.804%
227, 0.360,  84.238%
228, 0.360,  84.307%
229, 0.354,  84.230%
230, 0.367,  83.584%
231, 0.362,  83.929%
232, 0.368,  83.489%
233, 0.374,  83.255%
234, 0.358,  84.160%
235, 0.363,  84.020%
236, 0.356,  84.141%
237, 0.366,  83.602%
238, 0.362,  83.964%
239, 0.361,  83.952%
240, 0.359,  84.170%
241, 0.360,  84.228%
242, 0.361,  83.774%
243, 0.358,  84.129%
244, 0.355,  84.378%
245, 0.354,  84.442%
246, 0.350,  84.493%
247, 0.363,  83.820%
248, 0.351,  84.517%
249, 0.354,  84.590%
250, 0.364,  83.533%
251, 0.357,  84.115%
252, 0.356,  84.477%
253, 0.353,  84.497%
254, 0.357,  84.226%
255, 0.367,  83.590%
256, 0.361,  84.000%
257, 0.356,  84.212%
258, 0.364,  83.752%
259, 0.364,  83.663%
260, 0.363,  83.826%
261, 0.369,  83.358%
262, 0.359,  84.085%
263, 0.358,  84.081%
264, 0.365,  83.790%
265, 0.358,  84.075%
266, 0.358,  84.046%
267, 0.364,  83.782%
268, 0.354,  84.218%
269, 0.350,  84.408%
270, 0.354,  84.206%
271, 0.357,  84.121%
272, 0.348,  84.511%
273, 0.354,  84.285%
274, 0.359,  84.162%
275, 0.350,  84.929%
276, 0.348,  84.699%
277, 0.358,  84.048%
278, 0.359,  83.994%
279, 0.362,  83.913%
280, 0.358,  84.081%
281, 0.350,  84.648%
282, 0.355,  84.162%
283, 0.354,  84.299%
284, 0.357,  84.004%
285, 0.353,  84.481%
286, 0.351,  84.543%
287, 0.357,  84.170%
288, 0.362,  83.776%
289, 0.358,  84.127%
290, 0.355,  84.206%
291, 0.350,  84.606%
292, 0.343,  85.036%
293, 0.359,  84.141%
294, 0.361,  83.921%
295, 0.353,  84.410%
296, 0.361,  84.046%
297, 0.351,  84.598%
298, 0.355,  84.436%
299, 0.349,  84.515%
300, 0.358,  84.129%
301, 0.345,  84.810%
302, 0.351,  84.436%
303, 0.348,  84.495%
304, 0.358,  84.196%
305, 0.354,  84.246%
306, 0.364,  83.786%
307, 0.352,  84.370%
308, 0.352,  84.475%
309, 0.351,  84.549%
310, 0.348,  84.653%
311, 0.349,  84.533%
312, 0.354,  84.315%
313, 0.351,  84.430%
314, 0.353,  84.390%
315, 0.345,  84.788%
316, 0.356,  84.095%
317, 0.353,  84.495%
318, 0.356,  84.329%
319, 0.357,  84.113%
320, 0.358,  83.992%
321, 0.348,  84.564%
322, 0.356,  84.087%
323, 0.354,  84.303%
324, 0.353,  84.356%
325, 0.349,  84.802%
326, 0.347,  84.806%
327, 0.352,  84.337%
328, 0.357,  84.125%
329, 0.357,  84.198%
330, 0.344,  84.935%
331, 0.346,  84.881%
332, 0.351,  84.440%
333, 0.351,  84.469%
334, 0.357,  84.337%
335, 0.354,  84.168%
336, 0.348,  84.721%
337, 0.354,  84.295%
