Epoch, Loss, Acc
0, 0.692,  52.285%
1, 0.675,  56.754%
2, 0.664,  59.259%
3, 0.655,  61.533%
4, 0.649,  62.562%
5, 0.639,  63.804%
6, 0.636,  63.840%
7, 0.627,  65.267%
8, 0.623,  65.657%
9, 0.618,  66.436%
10, 0.609,  67.434%
11, 0.606,  67.196%
12, 0.602,  67.628%
13, 0.596,  68.426%
14, 0.589,  68.764%
15, 0.584,  69.295%
16, 0.582,  69.414%
17, 0.576,  69.749%
18, 0.571,  70.244%
19, 0.565,  70.925%
20, 0.560,  71.422%
21, 0.558,  71.370%
22, 0.553,  72.261%
23, 0.549,  72.313%
24, 0.543,  72.853%
25, 0.540,  72.719%
26, 0.537,  72.887%
27, 0.531,  73.566%
28, 0.529,  73.586%
29, 0.522,  74.414%
30, 0.520,  74.495%
31, 0.520,  74.220%
32, 0.510,  75.147%
33, 0.506,  75.232%
34, 0.505,  75.446%
35, 0.503,  75.547%
36, 0.497,  76.055%
37, 0.497,  76.113%
38, 0.492,  76.485%
39, 0.492,  76.457%
40, 0.487,  76.758%
41, 0.479,  77.236%
42, 0.477,  77.366%
43, 0.473,  77.749%
44, 0.471,  77.762%
45, 0.472,  77.808%
46, 0.466,  78.194%
47, 0.471,  78.004%
48, 0.464,  78.307%
49, 0.462,  78.505%
50, 0.458,  78.707%
51, 0.457,  78.618%
52, 0.450,  79.095%
53, 0.454,  78.790%
54, 0.457,  78.743%
55, 0.442,  79.749%
56, 0.440,  79.657%
57, 0.444,  79.638%
58, 0.435,  80.119%
59, 0.434,  80.198%
60, 0.435,  79.988%
61, 0.434,  80.228%
62, 0.443,  79.499%
63, 0.431,  80.251%
64, 0.437,  80.028%
65, 0.430,  80.337%
66, 0.430,  80.370%
67, 0.424,  80.739%
68, 0.423,  80.749%
69, 0.431,  80.184%
70, 0.426,  80.376%
71, 0.423,  80.679%
72, 0.423,  80.604%
73, 0.426,  80.535%
74, 0.416,  81.077%
75, 0.414,  81.188%
76, 0.415,  81.087%
77, 0.419,  81.125%
78, 0.409,  81.406%
79, 0.430,  80.111%
80, 0.411,  81.442%
81, 0.406,  81.408%
82, 0.396,  82.424%
83, 0.407,  81.733%
84, 0.406,  81.594%
85, 0.396,  82.416%
86, 0.404,  81.784%
87, 0.405,  81.844%
88, 0.403,  81.810%
89, 0.406,  81.378%
90, 0.400,  82.147%
91, 0.391,  82.507%
92, 0.392,  82.511%
93, 0.399,  81.921%
94, 0.397,  82.160%
95, 0.387,  82.673%
96, 0.396,  82.311%
97, 0.396,  82.279%
98, 0.408,  81.414%
99, 0.397,  82.259%
100, 0.402,  81.598%
101, 0.392,  82.457%
102, 0.394,  82.426%
103, 0.395,  82.190%
104, 0.389,  82.430%
105, 0.388,  82.626%
106, 0.384,  82.840%
107, 0.393,  82.358%
108, 0.392,  82.303%
109, 0.394,  82.204%
110, 0.385,  82.871%
111, 0.387,  82.628%
112, 0.385,  82.875%
113, 0.394,  82.253%
114, 0.391,  82.446%
115, 0.391,  82.386%
116, 0.397,  82.004%
117, 0.376,  83.392%
118, 0.389,  82.588%
119, 0.391,  82.442%
120, 0.382,  82.907%
121, 0.391,  82.659%
122, 0.381,  83.202%
123, 0.389,  82.469%
124, 0.382,  82.784%
125, 0.386,  82.570%
126, 0.389,  82.408%
127, 0.380,  83.016%
128, 0.386,  82.798%
129, 0.388,  82.659%
130, 0.382,  82.909%
131, 0.384,  82.707%
132, 0.378,  83.075%
133, 0.374,  83.382%
134, 0.375,  83.200%
135, 0.379,  82.859%
136, 0.378,  83.259%
137, 0.371,  83.634%
138, 0.376,  83.103%
139, 0.380,  83.000%
140, 0.383,  82.818%
141, 0.378,  83.230%
142, 0.371,  83.562%
143, 0.372,  83.477%
144, 0.378,  83.119%
145, 0.378,  83.246%
146, 0.378,  83.069%
147, 0.376,  83.164%
148, 0.374,  83.386%
149, 0.379,  83.018%
150, 0.382,  83.028%
151, 0.373,  83.539%
152, 0.373,  83.402%
153, 0.374,  83.184%
154, 0.373,  83.297%
155, 0.382,  82.723%
156, 0.384,  82.665%
157, 0.363,  83.814%
158, 0.361,  84.026%
159, 0.375,  83.160%
160, 0.372,  83.446%
161, 0.378,  83.222%
162, 0.364,  83.836%
163, 0.358,  84.190%
164, 0.367,  83.523%
165, 0.376,  83.091%
166, 0.367,  83.665%
167, 0.371,  83.513%
168, 0.369,  83.620%
169, 0.379,  82.915%
170, 0.371,  83.390%
171, 0.377,  83.248%
172, 0.370,  83.368%
173, 0.363,  83.828%
174, 0.368,  83.610%
175, 0.368,  83.715%
176, 0.370,  83.414%
177, 0.373,  83.297%
178, 0.376,  83.212%
179, 0.369,  83.507%
180, 0.369,  83.329%
181, 0.362,  83.776%
182, 0.367,  83.646%
183, 0.366,  83.907%
184, 0.367,  83.626%
185, 0.366,  83.816%
186, 0.367,  83.766%
187, 0.366,  83.701%
188, 0.376,  83.002%
189, 0.363,  83.846%
190, 0.370,  83.345%
191, 0.371,  83.570%
192, 0.364,  83.859%
193, 0.353,  84.533%
194, 0.366,  83.780%
195, 0.364,  83.840%
196, 0.362,  83.939%
197, 0.363,  83.863%
198, 0.361,  83.929%
199, 0.369,  83.501%
200, 0.366,  83.612%
201, 0.359,  84.133%
202, 0.364,  83.929%
203, 0.367,  83.816%
204, 0.365,  83.927%
205, 0.355,  84.271%
206, 0.356,  84.321%
207, 0.365,  83.772%
208, 0.361,  83.804%
209, 0.358,  84.374%
210, 0.365,  83.762%
211, 0.382,  82.626%
212, 0.363,  83.857%
213, 0.364,  83.893%
214, 0.365,  83.762%
215, 0.358,  84.287%
216, 0.357,  84.186%
217, 0.362,  83.830%
218, 0.370,  83.408%
219, 0.369,  83.485%
220, 0.365,  83.749%
221, 0.367,  83.715%
222, 0.355,  84.283%
223, 0.365,  83.774%
224, 0.359,  84.141%
225, 0.344,  84.861%
226, 0.366,  83.760%
227, 0.354,  84.317%
228, 0.369,  83.475%
