Epoch, Loss, Acc
0, 0.695,  50.461%
1, 0.675,  57.570%
2, 0.667,  59.230%
3, 0.656,  61.259%
4, 0.645,  62.754%
5, 0.639,  63.158%
6, 0.632,  64.038%
7, 0.625,  65.275%
8, 0.619,  66.051%
9, 0.612,  66.461%
10, 0.608,  66.562%
11, 0.598,  68.186%
12, 0.597,  67.848%
13, 0.591,  68.228%
14, 0.583,  69.432%
15, 0.581,  69.277%
16, 0.575,  69.723%
17, 0.572,  70.079%
18, 0.567,  70.572%
19, 0.560,  71.285%
20, 0.555,  71.657%
21, 0.549,  71.974%
22, 0.545,  72.420%
23, 0.543,  72.804%
24, 0.537,  73.238%
25, 0.534,  73.461%
26, 0.531,  73.939%
27, 0.530,  73.917%
28, 0.519,  74.525%
29, 0.516,  74.764%
30, 0.519,  74.822%
31, 0.508,  75.424%
32, 0.505,  75.651%
33, 0.497,  76.113%
34, 0.497,  76.115%
35, 0.499,  76.188%
36, 0.495,  76.216%
37, 0.494,  76.230%
38, 0.484,  77.087%
39, 0.485,  76.927%
40, 0.484,  76.986%
41, 0.477,  77.693%
42, 0.477,  77.665%
43, 0.479,  77.143%
44, 0.472,  77.820%
45, 0.466,  78.570%
46, 0.460,  78.661%
47, 0.458,  78.562%
48, 0.459,  78.606%
49, 0.459,  78.705%
50, 0.453,  78.976%
51, 0.452,  78.996%
52, 0.450,  79.186%
53, 0.447,  79.248%
54, 0.439,  79.919%
55, 0.442,  79.715%
56, 0.443,  79.594%
57, 0.434,  80.097%
58, 0.436,  80.226%
59, 0.435,  80.186%
60, 0.436,  80.113%
61, 0.434,  79.988%
62, 0.427,  80.624%
63, 0.423,  80.616%
64, 0.426,  80.388%
65, 0.426,  80.436%
66, 0.424,  80.677%
67, 0.426,  80.388%
68, 0.424,  80.804%
69, 0.424,  80.677%
70, 0.416,  81.299%
71, 0.414,  81.123%
72, 0.425,  80.386%
73, 0.407,  81.533%
74, 0.415,  81.192%
75, 0.415,  81.220%
76, 0.414,  81.162%
77, 0.416,  80.935%
78, 0.412,  81.331%
79, 0.401,  81.901%
80, 0.417,  80.877%
81, 0.413,  81.065%
82, 0.400,  81.976%
83, 0.398,  82.210%
84, 0.404,  81.917%
85, 0.415,  81.105%
86, 0.402,  81.927%
87, 0.399,  82.178%
88, 0.400,  81.992%
89, 0.412,  81.283%
90, 0.403,  81.691%
91, 0.388,  82.810%
92, 0.410,  81.446%
93, 0.393,  82.372%
94, 0.392,  82.143%
95, 0.402,  82.083%
96, 0.394,  82.143%
97, 0.395,  82.174%
98, 0.402,  81.776%
99, 0.396,  82.208%
100, 0.393,  82.513%
101, 0.398,  81.853%
102, 0.384,  82.802%
103, 0.388,  82.863%
104, 0.395,  81.952%
105, 0.389,  82.529%
106, 0.392,  82.372%
107, 0.396,  82.083%
108, 0.394,  82.339%
109, 0.395,  82.208%
110, 0.393,  82.194%
111, 0.390,  82.354%
112, 0.382,  82.986%
113, 0.397,  81.883%
114, 0.381,  83.145%
115, 0.387,  82.446%
116, 0.382,  82.911%
117, 0.383,  83.057%
118, 0.374,  83.499%
119, 0.385,  82.669%
120, 0.385,  82.782%
121, 0.386,  82.558%
122, 0.385,  82.830%
123, 0.376,  83.220%
124, 0.380,  83.172%
125, 0.386,  82.739%
126, 0.387,  82.574%
127, 0.379,  83.073%
128, 0.391,  82.483%
129, 0.382,  82.709%
130, 0.380,  82.907%
131, 0.375,  83.349%
132, 0.381,  82.834%
133, 0.372,  83.358%
134, 0.381,  82.945%
135, 0.379,  83.030%
136, 0.378,  83.137%
137, 0.381,  82.867%
138, 0.375,  82.972%
139, 0.377,  83.036%
140, 0.367,  83.661%
141, 0.377,  83.214%
142, 0.374,  83.358%
143, 0.374,  83.517%
144, 0.381,  82.891%
145, 0.373,  83.424%
146, 0.381,  82.907%
147, 0.382,  82.703%
148, 0.374,  83.289%
149, 0.373,  83.592%
150, 0.376,  83.216%
151, 0.376,  83.147%
152, 0.375,  83.232%
153, 0.367,  83.675%
154, 0.382,  82.832%
155, 0.373,  83.410%
156, 0.370,  83.634%
157, 0.382,  82.709%
158, 0.378,  83.079%
159, 0.380,  82.881%
160, 0.377,  83.081%
161, 0.365,  83.796%
162, 0.367,  83.707%
163, 0.370,  83.483%
164, 0.366,  83.822%
165, 0.369,  83.505%
166, 0.371,  83.537%
167, 0.371,  83.511%
168, 0.371,  83.301%
169, 0.377,  83.079%
170, 0.377,  83.067%
171, 0.368,  83.600%
172, 0.364,  83.778%
173, 0.368,  83.796%
174, 0.369,  83.521%
175, 0.370,  83.590%
176, 0.373,  83.356%
177, 0.372,  83.299%
178, 0.372,  83.537%
179, 0.372,  83.315%
180, 0.368,  83.691%
181, 0.365,  83.848%
182, 0.375,  83.156%
183, 0.376,  83.123%
184, 0.367,  83.816%
185, 0.365,  83.830%
186, 0.376,  83.105%
187, 0.370,  83.457%
188, 0.376,  83.081%
189, 0.361,  83.972%
190, 0.358,  84.248%
191, 0.355,  84.416%
192, 0.368,  83.558%
193, 0.357,  84.224%
194, 0.362,  83.899%
195, 0.373,  83.176%
196, 0.372,  83.305%
197, 0.366,  83.552%
198, 0.366,  83.659%
199, 0.365,  83.905%
200, 0.366,  83.735%
201, 0.378,  82.822%
202, 0.372,  83.315%
203, 0.377,  83.067%
204, 0.356,  84.311%
205, 0.372,  83.154%
206, 0.359,  84.160%
207, 0.367,  83.594%
208, 0.365,  83.824%
209, 0.371,  83.206%
210, 0.365,  83.764%
211, 0.366,  83.598%
212, 0.362,  83.931%
213, 0.366,  83.642%
214, 0.360,  83.937%
215, 0.363,  83.933%
216, 0.358,  84.166%
217, 0.364,  83.715%
218, 0.363,  83.834%
219, 0.366,  83.590%
220, 0.361,  83.964%
221, 0.362,  83.784%
