Epoch, Loss, Acc
0, 0.686,  53.782%
1, 0.674,  56.564%
2, 0.664,  59.265%
3, 0.654,  61.236%
4, 0.646,  62.501%
5, 0.637,  64.202%
6, 0.631,  64.758%
7, 0.623,  65.699%
8, 0.618,  66.119%
9, 0.611,  66.570%
10, 0.605,  67.533%
11, 0.597,  68.354%
12, 0.590,  69.210%
13, 0.588,  68.838%
14, 0.584,  69.570%
15, 0.577,  69.907%
16, 0.572,  70.295%
17, 0.566,  70.911%
18, 0.560,  71.246%
19, 0.558,  71.471%
20, 0.556,  71.713%
21, 0.551,  72.093%
22, 0.544,  72.731%
23, 0.542,  72.648%
24, 0.538,  73.232%
25, 0.533,  73.596%
26, 0.528,  73.812%
27, 0.528,  74.059%
28, 0.520,  74.677%
29, 0.518,  74.564%
30, 0.517,  74.495%
31, 0.510,  75.402%
32, 0.513,  75.018%
33, 0.502,  75.739%
34, 0.503,  75.283%
35, 0.495,  76.216%
36, 0.492,  76.729%
37, 0.492,  76.424%
38, 0.490,  76.356%
39, 0.488,  76.616%
40, 0.485,  77.000%
41, 0.479,  77.240%
42, 0.480,  77.048%
43, 0.479,  77.517%
44, 0.474,  77.564%
45, 0.475,  77.434%
46, 0.470,  77.859%
47, 0.463,  78.368%
48, 0.465,  78.143%
49, 0.459,  78.485%
50, 0.461,  78.352%
51, 0.455,  78.867%
52, 0.457,  78.521%
53, 0.457,  78.681%
54, 0.453,  79.053%
55, 0.451,  78.956%
56, 0.451,  79.016%
57, 0.448,  79.198%
58, 0.447,  79.360%
59, 0.441,  79.671%
60, 0.440,  79.737%
61, 0.435,  79.895%
62, 0.444,  79.455%
63, 0.432,  80.335%
64, 0.431,  80.349%
65, 0.432,  80.297%
66, 0.424,  80.788%
67, 0.430,  80.420%
68, 0.427,  80.576%
69, 0.430,  80.408%
70, 0.418,  81.065%
71, 0.420,  81.198%
72, 0.418,  81.063%
73, 0.423,  80.731%
74, 0.423,  80.729%
75, 0.424,  80.523%
76, 0.417,  81.133%
77, 0.420,  80.853%
78, 0.416,  81.097%
79, 0.411,  81.309%
80, 0.412,  81.485%
81, 0.403,  81.861%
82, 0.410,  81.537%
83, 0.407,  81.715%
84, 0.407,  81.570%
85, 0.409,  81.390%
86, 0.405,  81.657%
87, 0.408,  81.485%
88, 0.408,  81.465%
89, 0.406,  81.616%
90, 0.405,  81.657%
91, 0.401,  81.966%
92, 0.404,  81.687%
93, 0.408,  81.461%
94, 0.398,  82.279%
95, 0.390,  82.570%
96, 0.402,  81.782%
97, 0.402,  81.905%
98, 0.396,  82.214%
99, 0.401,  82.000%
100, 0.407,  81.659%
101, 0.391,  82.491%
102, 0.406,  81.576%
103, 0.399,  82.210%
104, 0.403,  81.798%
105, 0.391,  82.303%
106, 0.397,  82.059%
107, 0.394,  82.465%
108, 0.391,  82.576%
109, 0.400,  81.873%
110, 0.383,  82.964%
111, 0.386,  82.907%
112, 0.388,  82.669%
113, 0.386,  82.857%
114, 0.393,  82.226%
115, 0.401,  81.994%
116, 0.389,  82.455%
117, 0.396,  82.248%
118, 0.398,  81.964%
119, 0.392,  82.594%
120, 0.396,  82.236%
121, 0.385,  82.636%
122, 0.393,  82.384%
123, 0.400,  81.836%
124, 0.393,  82.196%
125, 0.386,  82.665%
126, 0.383,  82.927%
127, 0.379,  83.232%
128, 0.386,  82.802%
129, 0.385,  82.925%
130, 0.379,  83.154%
131, 0.382,  82.923%
132, 0.377,  83.178%
133, 0.381,  82.994%
134, 0.393,  82.248%
135, 0.388,  82.657%
136, 0.388,  82.590%
137, 0.376,  83.428%
138, 0.370,  83.622%
139, 0.386,  82.624%
140, 0.387,  82.588%
141, 0.393,  82.154%
142, 0.373,  83.444%
143, 0.382,  83.008%
144, 0.382,  82.939%
145, 0.369,  83.739%
146, 0.379,  83.014%
147, 0.377,  83.139%
148, 0.386,  82.758%
149, 0.376,  83.228%
150, 0.379,  83.063%
151, 0.381,  82.974%
152, 0.395,  82.123%
153, 0.370,  83.586%
154, 0.372,  83.620%
155, 0.380,  83.051%
156, 0.373,  83.279%
157, 0.378,  82.939%
158, 0.372,  83.267%
159, 0.373,  83.335%
160, 0.368,  83.826%
161, 0.377,  83.030%
162, 0.376,  83.069%
163, 0.367,  83.616%
164, 0.371,  83.539%
165, 0.377,  83.123%
166, 0.374,  83.162%
167, 0.383,  82.818%
168, 0.376,  83.156%
169, 0.376,  83.224%
170, 0.369,  83.648%
171, 0.368,  83.786%
172, 0.366,  83.562%
173, 0.366,  83.935%
174, 0.380,  82.899%
175, 0.377,  83.036%
176, 0.377,  83.081%
177, 0.363,  84.020%
178, 0.376,  83.119%
179, 0.370,  83.481%
180, 0.375,  83.147%
181, 0.375,  83.242%
182, 0.380,  82.747%
183, 0.372,  83.307%
184, 0.368,  83.519%
185, 0.370,  83.646%
186, 0.373,  83.370%
187, 0.384,  82.826%
188, 0.365,  83.853%
189, 0.378,  83.067%
190, 0.375,  83.004%
191, 0.370,  83.558%
192, 0.368,  83.600%
193, 0.358,  84.285%
194, 0.371,  83.422%
195, 0.372,  83.493%
196, 0.369,  83.541%
197, 0.368,  83.541%
198, 0.372,  83.440%
199, 0.369,  83.628%
200, 0.367,  83.655%
201, 0.360,  84.004%
202, 0.367,  83.840%
203, 0.372,  83.360%
204, 0.364,  83.931%
205, 0.361,  83.895%
206, 0.371,  83.414%
207, 0.361,  84.024%
208, 0.364,  83.796%
209, 0.363,  83.818%
210, 0.363,  83.911%
211, 0.368,  83.679%
212, 0.372,  83.343%
213, 0.366,  83.695%
214, 0.362,  84.089%
215, 0.355,  84.398%
216, 0.371,  83.531%
217, 0.365,  83.820%
218, 0.354,  84.448%
219, 0.373,  83.111%
220, 0.359,  84.192%
221, 0.369,  83.564%
