Epoch, Loss, Acc
0, 0.691,  51.580%
1, 0.674,  55.097%
2, 0.663,  58.154%
3, 0.656,  60.192%
4, 0.646,  61.564%
5, 0.639,  62.885%
6, 0.631,  63.739%
7, 0.622,  64.804%
8, 0.617,  65.747%
9, 0.610,  66.366%
10, 0.602,  67.784%
11, 0.597,  67.877%
12, 0.591,  68.616%
13, 0.587,  68.689%
14, 0.581,  69.242%
15, 0.575,  69.974%
16, 0.572,  70.089%
17, 0.561,  71.370%
18, 0.561,  71.246%
19, 0.556,  71.675%
20, 0.549,  72.196%
21, 0.547,  72.444%
22, 0.539,  73.067%
23, 0.537,  73.073%
24, 0.530,  73.792%
25, 0.528,  73.881%
26, 0.521,  74.368%
27, 0.517,  74.661%
28, 0.515,  75.143%
29, 0.509,  75.275%
30, 0.507,  75.471%
31, 0.504,  75.802%
32, 0.499,  76.002%
33, 0.494,  76.501%
34, 0.492,  76.693%
35, 0.492,  76.576%
36, 0.486,  76.861%
37, 0.482,  77.032%
38, 0.486,  76.796%
39, 0.476,  77.473%
40, 0.476,  77.590%
41, 0.472,  77.945%
42, 0.470,  78.166%
43, 0.462,  78.695%
44, 0.466,  78.352%
45, 0.463,  78.251%
46, 0.453,  79.279%
47, 0.457,  78.568%
48, 0.457,  78.842%
49, 0.453,  78.974%
50, 0.443,  79.802%
51, 0.443,  79.554%
52, 0.444,  79.556%
53, 0.440,  79.804%
54, 0.441,  79.756%
55, 0.435,  80.121%
56, 0.441,  79.543%
57, 0.431,  80.160%
58, 0.441,  79.646%
59, 0.427,  80.634%
60, 0.426,  80.717%
61, 0.427,  80.616%
62, 0.437,  79.861%
63, 0.413,  81.434%
64, 0.430,  80.253%
65, 0.419,  80.840%
66, 0.421,  80.889%
67, 0.417,  80.879%
68, 0.412,  81.440%
69, 0.412,  81.469%
70, 0.408,  81.493%
71, 0.415,  81.121%
72, 0.412,  81.392%
73, 0.412,  81.384%
74, 0.405,  81.796%
75, 0.409,  81.543%
76, 0.405,  81.830%
77, 0.412,  81.313%
78, 0.411,  81.430%
79, 0.402,  81.935%
80, 0.400,  81.848%
81, 0.400,  82.008%
82, 0.402,  81.927%
83, 0.406,  81.685%
84, 0.398,  82.180%
85, 0.399,  81.968%
86, 0.401,  81.701%
87, 0.402,  81.871%
88, 0.394,  82.160%
89, 0.395,  82.075%
90, 0.400,  82.038%
91, 0.401,  81.816%
92, 0.386,  82.707%
93, 0.384,  82.717%
94, 0.395,  82.263%
95, 0.395,  82.319%
96, 0.393,  82.646%
97, 0.399,  81.897%
98, 0.394,  82.349%
99, 0.405,  81.741%
100, 0.390,  82.374%
101, 0.399,  81.996%
102, 0.386,  82.646%
103, 0.393,  82.244%
104, 0.379,  83.147%
105, 0.390,  82.640%
