Epoch, Loss, Acc
0, 0.694,  52.038%
1, 0.680,  54.749%
2, 0.672,  56.772%
3, 0.658,  60.921%
4, 0.645,  62.986%
5, 0.639,  63.430%
6, 0.632,  64.638%
7, 0.626,  64.776%
8, 0.617,  65.861%
9, 0.612,  66.980%
10, 0.606,  67.230%
11, 0.601,  67.968%
12, 0.596,  68.315%
13, 0.589,  68.970%
14, 0.582,  69.723%
15, 0.579,  70.093%
16, 0.573,  70.414%
17, 0.565,  71.244%
18, 0.564,  71.097%
19, 0.556,  71.774%
20, 0.552,  71.992%
21, 0.547,  72.487%
22, 0.544,  72.836%
23, 0.539,  73.327%
24, 0.535,  73.648%
25, 0.531,  73.848%
26, 0.524,  74.648%
27, 0.523,  74.451%
28, 0.518,  74.493%
29, 0.509,  75.164%
30, 0.510,  75.275%
31, 0.503,  75.667%
32, 0.501,  75.891%
33, 0.501,  76.210%
34, 0.494,  76.541%
35, 0.491,  76.493%
36, 0.484,  77.170%
37, 0.488,  76.921%
38, 0.477,  77.418%
39, 0.477,  77.463%
40, 0.468,  78.246%
41, 0.474,  77.939%
42, 0.468,  78.085%
43, 0.460,  78.846%
44, 0.470,  77.836%
45, 0.463,  78.515%
46, 0.455,  78.869%
47, 0.459,  78.578%
48, 0.461,  78.461%
49, 0.450,  79.376%
50, 0.448,  79.226%
51, 0.454,  78.699%
52, 0.445,  79.352%
53, 0.446,  79.457%
54, 0.443,  79.651%
55, 0.435,  80.081%
56, 0.439,  79.895%
57, 0.440,  79.770%
58, 0.437,  80.022%
59, 0.439,  79.766%
60, 0.437,  80.067%
61, 0.436,  79.939%
62, 0.435,  79.895%
63, 0.430,  80.172%
64, 0.425,  80.653%
65, 0.425,  80.610%
66, 0.422,  80.580%
67, 0.429,  80.529%
68, 0.427,  80.566%
69, 0.426,  80.578%
70, 0.420,  80.895%
71, 0.417,  81.152%
72, 0.421,  80.695%
73, 0.405,  81.976%
74, 0.407,  81.543%
75, 0.408,  81.719%
76, 0.422,  80.840%
77, 0.411,  81.531%
78, 0.408,  81.489%
79, 0.410,  81.632%
80, 0.410,  81.436%
81, 0.406,  81.770%
82, 0.403,  81.859%
83, 0.409,  81.653%
84, 0.412,  81.378%
85, 0.420,  80.707%
86, 0.397,  82.238%
87, 0.407,  81.545%
88, 0.396,  82.232%
89, 0.412,  81.143%
90, 0.399,  82.071%
91, 0.403,  81.800%
92, 0.403,  81.877%
93, 0.397,  82.184%
94, 0.404,  81.614%
95, 0.395,  82.317%
96, 0.404,  81.830%
97, 0.401,  81.764%
98, 0.400,  81.923%
99, 0.399,  82.105%
100, 0.399,  82.018%
101, 0.402,  81.855%
102, 0.393,  82.271%
103, 0.393,  82.339%
104, 0.400,  81.966%
105, 0.392,  82.311%
106, 0.395,  82.335%
107, 0.387,  82.806%
108, 0.387,  82.681%
109, 0.388,  82.701%
110, 0.396,  82.222%
111, 0.396,  82.275%
112, 0.389,  82.574%
113, 0.386,  82.901%
114, 0.383,  82.923%
115, 0.393,  82.275%
116, 0.391,  82.376%
117, 0.388,  82.543%
118, 0.392,  82.261%
119, 0.390,  82.628%
120, 0.390,  82.374%
121, 0.385,  82.758%
122, 0.394,  82.166%
123, 0.388,  82.719%
124, 0.389,  82.337%
125, 0.394,  82.206%
126, 0.380,  83.036%
127, 0.390,  82.489%
128, 0.387,  82.774%
129, 0.391,  82.327%
130, 0.386,  82.711%
131, 0.389,  82.366%
132, 0.384,  82.717%
133, 0.384,  82.782%
134, 0.379,  83.051%
135, 0.382,  82.929%
136, 0.388,  82.444%
137, 0.380,  83.073%
138, 0.379,  83.202%
139, 0.377,  83.059%
140, 0.374,  83.473%
141, 0.376,  83.295%
142, 0.377,  83.347%
143, 0.388,  82.406%
144, 0.381,  83.053%
145, 0.377,  83.057%
146, 0.376,  83.263%
147, 0.385,  82.715%
148, 0.374,  83.594%
149, 0.379,  83.075%
150, 0.384,  82.810%
151, 0.376,  83.139%
152, 0.380,  83.065%
153, 0.376,  83.198%
154, 0.371,  83.505%
155, 0.378,  83.091%
156, 0.375,  83.319%
157, 0.381,  82.966%
158, 0.373,  83.465%
159, 0.379,  82.826%
160, 0.377,  83.166%
161, 0.370,  83.586%
162, 0.377,  82.960%
163, 0.375,  83.093%
164, 0.376,  83.105%
165, 0.373,  83.519%
166, 0.369,  83.683%
167, 0.380,  83.000%
168, 0.372,  83.459%
169, 0.374,  83.376%
170, 0.376,  83.218%
171, 0.379,  83.016%
172, 0.360,  84.127%
173, 0.371,  83.451%
174, 0.373,  83.309%
175, 0.366,  83.699%
176, 0.374,  83.416%
177, 0.364,  83.937%
