Epoch, Loss, Acc
0, 0.694,  51.539%
1, 0.676,  56.196%
2, 0.668,  57.905%
3, 0.658,  60.335%
4, 0.654,  60.893%
5, 0.647,  62.727%
6, 0.636,  64.103%
7, 0.630,  64.972%
8, 0.624,  65.477%
9, 0.615,  66.705%
10, 0.607,  67.141%
11, 0.604,  67.226%
12, 0.597,  68.141%
13, 0.592,  68.545%
14, 0.585,  69.271%
15, 0.583,  69.246%
16, 0.576,  69.933%
17, 0.567,  70.610%
18, 0.565,  70.962%
19, 0.562,  71.200%
20, 0.556,  71.822%
21, 0.557,  71.362%
22, 0.550,  72.390%
23, 0.542,  73.040%
24, 0.536,  73.687%
25, 0.536,  72.901%
26, 0.532,  73.473%
27, 0.527,  73.796%
28, 0.526,  74.115%
29, 0.515,  74.697%
30, 0.519,  74.370%
31, 0.510,  75.133%
32, 0.509,  75.135%
33, 0.508,  75.204%
34, 0.501,  76.099%
35, 0.498,  75.782%
36, 0.493,  76.368%
37, 0.492,  76.517%
38, 0.487,  76.719%
39, 0.491,  76.428%
40, 0.488,  76.697%
41, 0.484,  77.026%
42, 0.482,  77.200%
43, 0.473,  77.604%
44, 0.478,  77.483%
45, 0.470,  77.792%
46, 0.473,  77.657%
47, 0.464,  78.345%
48, 0.462,  78.485%
49, 0.461,  78.531%
50, 0.455,  78.998%
51, 0.454,  78.960%
52, 0.455,  78.814%
53, 0.451,  78.958%
54, 0.451,  79.044%
55, 0.452,  79.105%
56, 0.454,  78.931%
57, 0.443,  79.560%
58, 0.445,  79.513%
59, 0.440,  79.814%
60, 0.444,  79.422%
61, 0.435,  80.204%
62, 0.439,  79.972%
63, 0.435,  79.885%
64, 0.428,  80.681%
65, 0.428,  80.386%
66, 0.430,  80.305%
67, 0.431,  80.115%
68, 0.428,  80.412%
69, 0.428,  80.566%
70, 0.419,  80.937%
71, 0.421,  80.935%
72, 0.423,  80.798%
73, 0.425,  80.576%
74, 0.414,  81.420%
75, 0.418,  80.982%
76, 0.410,  81.808%
77, 0.414,  81.265%
78, 0.412,  81.471%
79, 0.418,  80.986%
80, 0.413,  81.295%
81, 0.404,  81.816%
82, 0.411,  81.295%
83, 0.409,  81.529%
84, 0.417,  80.844%
85, 0.404,  81.822%
86, 0.417,  81.048%
87, 0.404,  81.707%
88, 0.409,  81.485%
89, 0.409,  81.291%
90, 0.411,  81.337%
91, 0.406,  81.661%
92, 0.392,  82.321%
93, 0.408,  81.295%
94, 0.395,  82.133%
95, 0.400,  82.117%
96, 0.401,  81.901%
97, 0.392,  82.564%
98, 0.393,  82.347%
99, 0.394,  82.281%
100, 0.395,  82.123%
101, 0.401,  81.705%
102, 0.402,  81.570%
103, 0.384,  82.739%
104, 0.400,  81.855%
105, 0.392,  82.457%
106, 0.384,  82.745%
107, 0.382,  82.947%
108, 0.394,  82.317%
109, 0.391,  82.402%
110, 0.398,  81.905%
111, 0.395,  82.073%
112, 0.395,  82.125%
113, 0.393,  82.418%
114, 0.396,  82.044%
115, 0.389,  82.721%
116, 0.380,  83.125%
117, 0.380,  82.966%
118, 0.391,  82.560%
119, 0.385,  82.796%
120, 0.379,  82.978%
121, 0.385,  82.903%
122, 0.381,  82.883%
123, 0.378,  83.263%
124, 0.397,  81.990%
125, 0.382,  82.859%
126, 0.389,  82.537%
127, 0.374,  83.305%
128, 0.388,  82.489%
129, 0.391,  82.299%
130, 0.381,  83.010%
131, 0.387,  82.570%
132, 0.379,  82.885%
133, 0.384,  82.794%
134, 0.379,  82.952%
135, 0.388,  82.448%
136, 0.377,  83.077%
137, 0.389,  82.453%
138, 0.373,  83.564%
139, 0.373,  83.285%
